Id,itemDescription,InvoiceNum,Quantity
85,yogurt,34,1
86,root vegetables,34,1
87,yogurt,34,1
88,domestic eggs,34,1
89,white wine,34,1
90,photo/film,34,1
91,herbs,35,1
92,yogurt,35,1
93,newspapers,35,1
94,tropical fruit,36,1
95,yogurt,36,1
96,pastry,37,1
97,ketchup,37,1
98,canned fish,38,1
99,cocoa drinks,38,1
100,pip fruit,39,1
101,coffee,39,1
102,UHT/milk,39,1
103,kitchen towels,40,1
104,sliced cheese,40,1
105,bottled water,41,1
106,specialty bar,41,1
107,frankfurter,42,1
108,bottled water,42,1
109,pip fruit,43,1
110,candles,43,1
111,rolls/buns,43,1
112,curd cheese,44,1
113,pastry,44,1
114,whole milk,45,1
115,frankfurter,45,1
116,candles,45,1
117,grapes,45,1
118,herbs,45,1
119,other vegetables,45,1
120,yogurt,45,1
121,citrus fruit,46,1
122,candy,46,1
123,bottled water,46,1
124,rolls/buns,46,1
125,frankfurter,47,1
126,yogurt,47,1
127,tropical fruit,48,1
128,root vegetables,48,1
129,rolls/buns,48,1
130,onions,48,1
131,shopping bags,48,1
132,frozen vegetables,49,1
133,brown bread,49,1
134,processed cheese,50,1
135,whole milk,50,1
136,root vegetables,51,1
137,mayonnaise,51,1
138,frozen meals,52,1
139,whole milk,52,1
140,white bread,53,1
141,meat,53,1
142,domestic eggs,53,1
143,roll products ,53,1
144,other vegetables,54,1
145,mustard,54,1
146,hard cheese,55,1
147,napkins,55,1
148,bottled water,55,1
149,whole milk,56,1
150,candy,56,1
151,tropical fruit,57,1
152,frozen vegetables,57,1
153,mustard,58,1
154,whipped/sour cream,58,1
155,hamburger meat,59,1
156,butter milk,59,1
157,whole milk,60,1
158,rolls/buns,60,1
159,whole milk,61,1
160,sausage,61,1
161,bottled beer,61,1
162,yogurt,61,1
163,canned beer,62,1
164,cookware,62,1
165,citrus fruit,63,1
166,whole milk,63,1
167,salty snack,64,1
168,beef,64,1
169,fruit/vegetable juice,65,1
170,rolls/buns,65,1
171,chocolate,65,1
172,UHT/milk,66,1
173,bottled beer,66,1
174,chicken,67,1
175,red/blush wine,67,1
176,soft cheese,68,1
177,pip fruit,68,1
178,rolls/buns,69,1
179,frankfurter,69,1
180,oil,69,1
181,pip fruit,69,1
182,mayonnaise,69,1
183,brown bread,70,1
184,pet care,70,1
185,other vegetables,71,1
186,rolls/buns,71,1
187,yogurt,72,1
188,beef,72,1
189,other vegetables,73,1
190,root vegetables,73,1
191,soda,74,1
192,dessert,74,1
193,shopping bags,74,1
194,curd,75,1
195,long life bakery product,75,1
196,beverages,76,1
197,domestic eggs,76,1
198,butter milk,77,1
199,root vegetables,77,1
200,berries,78,1
201,cake bar,78,1
202,hamburger meat,79,1
203,red/blush wine,79,1
204,canned beer,80,1
205,shopping bags,80,1
206,canned beer,81,1
207,spices,81,1
208,rolls/buns,81,1
209,frozen fish,81,1
210,frozen meals,82,1
211,butter,82,1
212,newspapers,82,1
213,yogurt,82,1
214,rolls/buns,83,1
215,baking powder,83,1
216,liquor,84,1
217,curd,84,1
218,yogurt,84,1
219,tropical fruit,84,1
220,sliced cheese,85,1
221,butter,85,1
222,sausage,86,1
223,fruit/vegetable juice,86,1
224,beef,87,1
225,napkins,87,1
226,whole milk,88,1
227,whipped/sour cream,88,2
228,root vegetables,89,1
229,rolls/buns,89,1
230,packaged fruit/vegetables,89,1
231,domestic eggs,90,1
232,soda,90,1
233,chicken,91,1
234,frozen meals,91,1
235,male cosmetics,92,1
236,curd,92,1
237,white bread,93,1
238,bottled beer,93,1
239,yogurt,93,1
240,berries,93,1
241,sausage,94,1
242,whipped/sour cream,94,1
243,specialty bar,94,1
244,fish,95,1
245,root vegetables,95,1
246,tropical fruit,95,1
247,other vegetables,95,1
248,coffee,96,1
249,shopping bags,96,1
250,ham,97,1
251,cream cheese ,97,1
252,canned beer,98,1
253,UHT/milk,98,1
254,sausage,99,1
255,dessert,99,1
256,rolls/buns,99,1
257,pickled vegetables,99,1
258,fruit/vegetable juice,100,1
259,salty snack,100,1
260,candy,100,1
261,dental care,100,1
262,butter,100,1
263,root vegetables,101,1
264,long life bakery product,101,1
265,citrus fruit,102,1
266,yogurt,102,1
267,root vegetables,103,1
268,whipped/sour cream,103,1
269,root vegetables,103,1
270,canned beer,103,1
271,softener,104,1
272,salt,104,1
273,whole milk,104,1
274,pork,105,1
275,hamburger meat,105,1
276,rolls/buns,106,1
277,bottled water,106,1
278,rolls/buns,107,1
279,red/blush wine,107,1
280,rolls/buns,108,1
281,sugar,108,1
282,soda,109,1
283,butter,109,1
284,onions,110,1
285,canned beer,110,1
286,flower (seeds),110,1
287,specialty chocolate,111,1
288,root vegetables,111,1
289,rolls/buns,112,1
290,baking powder,112,1
291,onions,112,1
292,bottled water,112,1
293,dessert,113,1
294,ham,113,1
295,ice cream,114,1
296,pot plants,114,1
297,other vegetables,115,2
298,berries,115,1
299,beverages,116,1
300,cream cheese ,116,1
301,ice cream,117,1
302,whipped/sour cream,117,1
303,berries,118,1
304,soda,118,1
305,butter,118,1
306,other vegetables,118,1
307,white bread,118,1
308,cream cheese ,118,1
309,yogurt,119,1
310,root vegetables,119,1
311,white bread,120,1
312,whole milk,120,1
313,pastry,120,1
314,shopping bags,120,1
315,whipped/sour cream,121,1
316,newspapers,121,1
317,frankfurter,122,1
318,pastry,122,1
319,chicken,123,1
320,waffles,123,1
321,fruit/vegetable juice,124,1
322,dessert,124,1
323,sausage,125,1
324,snack products,125,1
325,rolls/buns,125,1
326,tropical fruit,126,1
327,soda,126,1
328,rolls/buns,126,1
329,tropical fruit,127,1
330,newspapers,127,1
331,pip fruit,128,1
332,cling film/bags,128,1
333,yogurt,128,1
334,cat food,128,1
335,bottled water,129,1
336,domestic eggs,129,1
337,frozen meals,129,1
338,whole milk,130,1
339,newspapers,130,1
340,pip fruit,131,1
341,white wine,131,1
342,white bread,131,1
343,salt,131,1
344,sausage,132,1
345,frozen vegetables,132,1
346,whole milk,133,1
347,yogurt,133,2
348,rolls/buns,133,1
349,whole milk,134,1
350,frozen vegetables,134,1
351,fruit/vegetable juice,135,1
352,vinegar,135,1
353,citrus fruit,136,1
354,shopping bags,136,1
355,chewing gum,136,1
356,cake bar,136,1
357,frankfurter,137,1
358,yogurt,137,1
359,canned beer,137,1
360,tropical fruit,138,1
361,white bread,138,1
362,rolls/buns,138,1
363,whole milk,139,1
364,pip fruit,139,1
365,whipped/sour cream,139,1
366,other vegetables,140,1
367,specialty chocolate,140,1
368,Instant food products,141,1
369,whipped/sour cream,141,1
370,butter,141,1
371,cake bar,141,1
372,sausage,142,1
373,pork,142,1
374,butter,142,1
375,whole milk,142,1
376,fruit/vegetable juice,142,1
377,pip fruit,143,1
378,herbs,143,1
379,frozen meals,143,1
380,margarine,144,1
381,napkins,144,1
382,salty snack,145,1
383,rolls/buns,145,1
384,whole milk,146,1
385,pasta,146,1
386,rolls/buns,146,1
387,yogurt,147,1
388,rolls/buns,147,1
389,root vegetables,148,1
390,white bread,148,1
391,tropical fruit,149,1
392,chicken,149,1
393,onions,149,1
394,packaged fruit/vegetables,149,1
395,prosecco,150,1
396,dessert,150,1
397,hamburger meat,151,1
398,yogurt,151,1
399,chicken,152,1
400,frozen vegetables,152,1
401,candy,152,1
402,tropical fruit,153,1
403,brown bread,153,1
404,whole milk,153,1
405,beef,154,1
406,dessert,154,1
407,whole milk,155,1
408,other vegetables,155,1
409,citrus fruit,156,1
410,bottled water,156,1
411,citrus fruit,157,1
412,rolls/buns,157,1
413,whole milk,157,1
414,tropical fruit,158,1
415,sliced cheese,158,1
416,napkins,159,1
417,whole milk,159,1
418,chocolate marshmallow,159,1
419,tropical fruit,160,1
420,other vegetables,160,1
421,root vegetables,161,1
422,curd,161,1
423,fruit/vegetable juice,162,1
424,specialty chocolate,162,1
425,Instant food products,162,1
426,root vegetables,163,1
427,yogurt,163,1
428,butter,163,1
429,yogurt,163,1
430,chicken,164,1
431,onions,164,1
432,whole milk,165,1
433,pastry,165,1
434,pork,166,1
435,bottled water,166,1
436,curd,167,1
437,soda,167,1
438,sweet spreads,168,1
439,butter,168,1
440,pip fruit,169,1
441,soda,169,1
442,rolls/buns,170,1
443,condensed milk,170,1
444,whole milk,170,1
445,soda,170,1
446,rolls/buns,171,1
447,tropical fruit,171,1
448,specialty bar,172,1
449,margarine,172,1
450,butter,173,1
451,whole milk,173,1
452,white bread,174,1
453,candy,174,1
454,frankfurter,175,1
455,herbs,175,1
456,house keeping products,176,1
457,yogurt,176,1
458,whipped/sour cream,177,1
459,hygiene articles,177,1
460,UHT/milk,178,1
461,other vegetables,178,1
462,dishes,178,1
463,meat,179,1
464,whole milk,179,1
465,waffles,180,1
466,beverages,180,1
467,pasta,181,1
468,yogurt,181,1
469,cat food,181,1
470,fish,182,1
471,tropical fruit,182,1
472,red/blush wine,182,1
473,cream cheese ,182,1
474,other vegetables,183,1
475,soda,183,1
476,rolls/buns,183,1
477,dishes,183,1
478,tropical fruit,184,1
479,other vegetables,184,1
480,hamburger meat,184,1
481,popcorn,184,1
482,female sanitary products,184,1
483,hamburger meat,185,1
484,bottled beer,185,1
485,pork,186,1
486,coffee,186,1
487,frozen vegetables,186,1
488,shopping bags,187,2
489,beef,188,1
490,shopping bags,188,1
491,soda,189,1
492,hamburger meat,189,1
493,butter milk,190,1
494,yogurt,190,2
495,margarine,190,1
496,soda,191,1
497,whole milk,191,1
498,root vegetables,192,1
499,grapes,192,1
500,frankfurter,193,1
501,whipped/sour cream,193,1
502,bottled water,194,1
503,chewing gum,194,1
504,chicken,195,1
505,beverages,195,1
506,coffee,195,1
507,pork,196,1
508,other vegetables,196,1
509,yogurt,196,1
510,shopping bags,196,1
511,soft cheese,196,1
512,detergent,196,1
513,butter,197,1
514,dog food,197,1
515,chicken,198,1
516,frozen vegetables,198,1
517,other vegetables,199,1
518,whole milk,199,1
519,hamburger meat,200,1
520,pastry,200,1
521,waffles,201,1
522,rolls/buns,201,1
523,whole milk,202,1
524,sugar,202,1
525,soda,203,2
526,bottled beer,204,1
527,oil,204,1
528,frankfurter,205,1
529,citrus fruit,205,1
530,margarine,205,1
531,soda,206,1
532,fruit/vegetable juice,206,1
533,photo/film,207,1
534,other vegetables,207,1
535,pork,208,1
536,white wine,208,1
537,bottled water,209,1
538,yogurt,209,1
539,newspapers,209,1
540,soda,209,1
541,whipped/sour cream,210,1
542,meat spreads,210,1
543,pip fruit,211,1
544,other vegetables,211,1
545,ham,212,1
546,whole milk,212,1
547,salty snack,213,1
548,pickled vegetables,213,1
549,soda,214,1
550,domestic eggs,214,1
551,sliced cheese,214,1
552,soda,214,1
553,tropical fruit,215,1
554,UHT/milk,215,1
555,yogurt,216,1
556,root vegetables,216,1
557,sausage,217,1
558,bottled water,217,1
559,root vegetables,218,1
560,other vegetables,218,1
561,chicken,219,1
562,other vegetables,219,1
563,dessert,220,1
564,spread cheese,220,1
565,sausage,221,1
566,salty snack,221,1
567,cling film/bags,221,1
568,whole milk,222,1
569,tropical fruit,222,1
570,root vegetables,222,1
571,Instant food products,222,1
572,margarine,222,1
573,soda,223,1
574,fruit/vegetable juice,223,1
575,bottled beer,223,1
576,beef,224,1
577,chocolate,224,1
578,beverages,225,1
579,dessert,225,1
580,whipped/sour cream,226,1
581,hard cheese,226,1
582,ham,227,1
583,whipped/sour cream,227,1
584,ketchup,227,1
585,white bread,228,1
586,frozen fruits,228,1
587,tropical fruit,229,1
588,whole milk,229,1
589,other vegetables,229,1
590,long life bakery product,229,1
591,other vegetables,230,1
592,yogurt,230,1
593,whole milk,230,1
594,butter,230,1
595,shopping bags,230,1
596,whole milk,231,1
597,sauces,231,1
598,whole milk,232,1
599,citrus fruit,232,1
600,rolls/buns,233,1
601,candy,233,1
602,root vegetables,234,1
603,whole milk,234,1
604,cream cheese ,235,1
605,rolls/buns,235,1
606,long life bakery product,236,1
607,root vegetables,236,1
608,other vegetables,236,1
609,tropical fruit,237,1
610,rolls/buns,237,1
611,frankfurter,238,1
612,tropical fruit,238,2
613,whole milk,239,1
614,long life bakery product,239,1
615,rum,239,1
616,hamburger meat,240,1
617,soda,240,1
618,red/blush wine,241,1
619,frozen fish,241,1
620,beef,242,1
621,dessert,242,1
622,root vegetables,243,1
623,bottled beer,243,1
624,oil,244,1
625,shopping bags,244,1
626,whole milk,245,1
627,other vegetables,245,1
628,whole milk,246,1
629,tropical fruit,246,1
630,hamburger meat,247,1
631,pork,247,1
632,rolls/buns,248,1
633,tropical fruit,248,1
634,coffee,248,1
635,chocolate,248,1
636,soda,249,1
637,yogurt,249,1
638,pork,250,1
639,spread cheese,250,1
640,salt,251,1
641,domestic eggs,251,1
642,pork,252,1
643,rolls/buns,252,1
644,brown bread,253,1
645,fruit/vegetable juice,253,1
646,bottled beer,254,1
647,tropical fruit,254,1
648,sliced cheese,254,1
649,dishes,254,1
650,cream cheese ,255,1
651,newspapers,255,1
652,citrus fruit,256,1
653,red/blush wine,256,1
654,yogurt,257,1
655,roll products ,257,1
656,fruit/vegetable juice,257,1
657,ham,258,1
658,other vegetables,258,1
659,frankfurter,259,1
660,canned beer,259,1
661,yogurt,260,1
662,bottled water,260,1
663,domestic eggs,260,1
664,finished products,261,1
665,brown bread,261,1
666,dishes,261,1
667,pip fruit,262,1
668,curd,262,1
669,pip fruit,262,1
670,prosecco,262,1
671,brown bread,263,1
672,salt,263,1
673,semi/finished bread,264,1
674,ketchup,264,1
675,oil,265,1
676,shopping bags,265,1
677,fruit/vegetable juice,266,1
678,flower (seeds),266,1
679,misc. beverages,267,1
680,instant coffee,267,1
681,detergent,268,1
682,candy,268,1
683,UHT/milk,269,1
684,canned fish,269,1
685,frankfurter,270,1
686,citrus fruit,270,1
687,bottled water,270,1
688,fruit/vegetable juice,270,1
689,frankfurter,271,1
690,frozen meals,271,1
691,dishes,271,1
692,pip fruit,272,1
693,rolls/buns,272,1
694,sausage,273,1
695,butter,273,1
696,bottled water,273,1
697,frankfurter,274,1
698,chicken,274,1
699,butter,274,1
700,bottled water,274,1
701,ham,275,1
702,whole milk,275,2
703,coffee,275,1
704,sausage,276,1
705,brown bread,276,1
706,other vegetables,277,1
707,butter,277,1
708,tropical fruit,278,1
709,soda,278,1
710,pastry,279,1
711,pasta,279,1
712,white bread,280,1
713,brown bread,280,1
714,canned beer,281,1
715,rolls/buns,281,1
716,artif. sweetener,281,1
717,soda,281,1
718,rolls/buns,282,1
719,root vegetables,282,1
720,chicken,283,1
721,soda,283,1
722,frankfurter,284,1
723,curd,284,1
724,white bread,284,1
725,rolls/buns,284,1
726,coffee,284,1
727,red/blush wine,285,1
728,bottled water,285,1
729,sweet spreads,285,1
730,rolls/buns,286,1
731,onions,286,1
732,napkins,286,1
733,canned beer,287,1
734,soda,287,1
735,root vegetables,288,1
736,frozen vegetables,288,1
737,pet care,288,1
738,beverages,289,1
739,yogurt,289,1
740,specialty bar,290,1
741,tropical fruit,290,1
742,yogurt,290,1
743,bottled beer,290,1
744,baking powder,290,1
745,other vegetables,291,1
746,frankfurter,291,1
747,newspapers,291,1
748,whole milk,291,1
749,pastry,291,1
750,tropical fruit,292,1
751,whole milk,292,1
752,coffee,293,1
753,butter milk,293,1
754,beef,294,1
755,margarine,294,1
756,other vegetables,294,1
757,bottled water,295,1
758,hygiene articles,295,1
759,pork,296,1
760,sliced cheese,296,1
761,specialty chocolate,297,1
762,soda,297,1
763,bathroom cleaner,297,1
764,hamburger meat,298,1
765,whole milk,298,1
766,pip fruit,299,1
767,other vegetables,299,1
768,root vegetables,300,1
769,citrus fruit,300,1
770,other vegetables,301,1
771,shopping bags,301,1
772,soda,301,1
773,yogurt,302,1
774,newspapers,302,1
775,ice cream,303,1
776,whipped/sour cream,303,1
777,other vegetables,304,1
778,beef,304,1
779,soda,304,1
780,curd,304,1
781,butter,304,1
782,canned beer,305,1
783,herbs,305,1
784,margarine,305,1
785,rolls/buns,306,1
786,soda,306,1
787,rolls/buns,307,1
788,citrus fruit,307,1
789,coffee,308,1
790,berries,308,1
791,ham,309,1
792,white bread,309,1
793,herbs,310,1
794,pot plants,310,1
795,cake bar,310,1
796,soda,311,1
797,flower (seeds),311,1
798,jam,311,1
799,sausage,312,1
800,pip fruit,312,1
801,chocolate,312,1
802,specialty chocolate,313,1
803,white bread,313,1
804,whole milk,314,2
805,other vegetables,315,1
806,whole milk,315,1
807,sausage,316,1
808,beverages,316,1
809,whole milk,317,1
810,hard cheese,317,1
811,yogurt,318,1
812,berries,318,1
813,tropical fruit,319,1
814,meat,319,1
815,other vegetables,319,1
816,domestic eggs,319,1
817,baking powder,319,1
818,yogurt,320,1
819,sauces,320,1
820,beef,321,1
821,yogurt,321,1
822,ice cream,322,1
823,whole milk,322,1
824,sausage,323,1
825,whisky,323,1
826,specialty chocolate,323,1
827,dishes,323,1
828,yogurt,323,1
829,napkins,323,1
830,detergent,323,1
831,pastry,323,1
832,yogurt,324,1
833,newspapers,324,1
834,photo/film,325,1
835,shopping bags,325,1
836,frankfurter,326,1
837,other vegetables,326,1
838,bottled beer,326,1
839,root vegetables,327,1
840,soda,327,1
841,specialty bar,327,1
842,other vegetables,327,1
843,frozen vegetables,327,1
844,rolls/buns,328,1
845,grapes,328,1
846,bottled beer,328,1
847,sausage,328,1
848,salty snack,328,1
849,Instant food products,328,1
850,domestic eggs,328,1
851,bottled water,328,1
852,dessert,329,1
853,domestic eggs,329,1
854,whole milk,330,1
855,brown bread,330,1
856,hamburger meat,331,1
857,detergent,331,1
858,flour,331,1
859,sausage,332,1
860,tropical fruit,332,1
861,misc. beverages,332,1
862,root vegetables,332,1
863,sausage,333,1
864,whole milk,333,1
865,tropical fruit,334,1
866,soda,334,1
867,newspapers,335,1
868,salty snack,335,1
869,pasta,336,1
870,whole milk,336,1
871,waffles,336,1
872,chocolate marshmallow,337,1
873,other vegetables,337,1
874,pickled vegetables,338,1
875,flour,338,1
876,yogurt,339,1
877,shopping bags,339,1
878,packaged fruit/vegetables,340,1
879,bottled water,340,1
880,pork,340,1
881,domestic eggs,340,1
882,pip fruit,341,1
883,fruit/vegetable juice,341,1
884,shopping bags,342,1
885,root vegetables,342,1
886,whipped/sour cream,343,1
887,curd,343,1
888,shopping bags,343,1
889,tropical fruit,344,1
890,whole milk,344,1
891,soda,344,1
892,curd,344,1
893,sausage,345,1
894,whole milk,345,1
895,cake bar,345,1
896,frankfurter,346,1
897,whipped/sour cream,346,1
898,bottled water,346,1
899,hard cheese,347,1
900,whole milk,347,1
901,tropical fruit,348,1
902,citrus fruit,348,1
903,yogurt,348,1
904,frankfurter,348,1
905,specialty chocolate,348,1
906,hard cheese,348,1
907,whole milk,348,1
908,canned beer,348,2
909,napkins,349,1
910,rolls/buns,349,1
911,grapes,350,1
912,other vegetables,350,1
913,rolls/buns,351,1
914,shopping bags,351,1
915,cat food,351,1
916,tropical fruit,352,1
917,candy,352,1
918,citrus fruit,353,1
919,dessert,353,1
920,root vegetables,354,1
921,frozen vegetables,354,1
922,bottled water,354,1
923,cat food,354,1
924,spread cheese,355,1
925,pork,355,1
926,pip fruit,356,1
927,brown bread,356,1
928,root vegetables,357,1
929,instant coffee,357,1
930,soda,358,1
931,hygiene articles,358,1
932,grapes,358,1
933,pudding powder,358,1
934,butter milk,358,1
935,butter,358,1
936,whole milk,359,1
937,yogurt,359,1
938,hamburger meat,360,1
939,pasta,360,1
940,whole milk,361,1
941,processed cheese,361,1
942,brown bread,362,1
943,sparkling wine,362,1
944,rolls/buns,363,1
945,other vegetables,363,1
946,whipped/sour cream,363,1
947,candy,364,1
948,white wine,364,1
949,root vegetables,365,1
950,frozen vegetables,365,1
951,other vegetables,366,1
952,white bread,366,1
953,detergent,366,1
954,yogurt,367,1
955,beverages,367,1
956,brown bread,367,1
957,ice cream,368,1
958,herbs,368,1
959,cream,369,1
960,yogurt,369,1
961,chicken,370,1
962,pastry,370,1
963,candles,370,1
964,waffles,371,1
965,hygiene articles,371,1
966,tea,371,1
967,yogurt,372,1
968,root vegetables,372,1
969,yogurt,373,1
970,other vegetables,373,1
971,rolls/buns,373,1
972,herbs,373,1
973,domestic eggs,374,1
974,yogurt,374,1
975,pork,375,1
976,whole milk,375,1
977,other vegetables,376,1
978,white bread,376,1
979,bottled water,377,1
980,yogurt,377,1
981,tropical fruit,377,1
982,whole milk,377,1
983,citrus fruit,378,1
984,misc. beverages,378,1
985,liver loaf,379,1
986,chicken,379,1
987,rolls/buns,379,1
988,spread cheese,379,1
989,shopping bags,379,1
990,citrus fruit,380,1
991,misc. beverages,380,1
992,whole milk,381,1
993,pastry,381,1
994,onions,382,1
995,newspapers,382,1
996,beef,383,1
997,specialty fat,383,1
998,newspapers,383,1
999,rolls/buns,384,1
1000,semi/finished bread,384,1
1001,shopping bags,385,1
1002,rolls/buns,385,1
1003,pastry,386,1
1004,canned beer,386,1
1005,whipped/sour cream,386,1
1006,grapes,386,1
1007,salty snack,387,1
1008,pastry,387,1
1009,oil,387,1
1010,frozen potato products,388,1
1011,specialty cheese,388,1
1012,brown bread,389,1
1013,whole milk,389,1
1014,shopping bags,389,1
1015,citrus fruit,390,1
1016,frozen vegetables,390,1
1017,margarine,390,1
1018,curd,391,1
1019,sugar,391,1
1020,chocolate,392,1
1021,whole milk,392,1
1022,pip fruit,393,1
1023,salty snack,393,1
1024,pastry,393,1
1025,pip fruit,394,1
1026,margarine,394,1
1027,soda,395,1
1028,salty snack,395,1
1029,ham,396,1
1030,yogurt,396,1
1031,bottled water,397,1
1032,chocolate,397,1
1033,pastry,398,1
1034,baking powder,398,1
1035,butter,398,1
1036,margarine,398,1
1037,curd,398,1
1038,dishes,398,1
1039,whole milk,399,1
1040,soda,399,1
1041,pickled vegetables,400,1
1042,liquor,400,1
1043,margarine,401,1
1044,yogurt,401,1
1045,whole milk,402,1
1046,frozen vegetables,402,1
1047,soda,402,1
1048,UHT/milk,402,1
1049,other vegetables,403,1
1050,whipped/sour cream,403,1
1051,beef,404,1
1052,semi/finished bread,404,1
1053,bottled water,405,1
1054,flour,405,1
1055,sugar,405,1
1056,dish cleaner,406,1
1057,ice cream,406,1
1058,jam,406,1
1059,newspapers,406,1
1060,curd,407,1
1061,canned beer,407,1
1062,whole milk,408,1
1063,yogurt,408,1
1064,newspapers,408,1
1065,bottled beer,409,1
1066,specialty bar,409,1
1067,baking powder,409,1
1068,pork,410,1
1069,pudding powder,410,1
1070,domestic eggs,410,1
1071,root vegetables,411,1
1072,shopping bags,411,1
1073,misc. beverages,412,1
1074,UHT/milk,412,1
1075,white bread,412,1
1076,dog food,413,1
1077,sausage,413,1
1078,dessert,413,1
1079,shopping bags,413,1
1080,root vegetables,414,1
1081,citrus fruit,414,1
1082,chocolate,415,1
1083,brown bread,415,1
1084,salty snack,415,1
1085,chicken,416,1
1086,shopping bags,416,1
1087,other vegetables,417,1
1088,butter,417,1
1089,whipped/sour cream,418,1
1090,yogurt,418,1
1091,other vegetables,419,1
1092,yogurt,419,1
1093,turkey,420,1
1094,root vegetables,420,1
1095,other vegetables,421,1
1096,napkins,421,1
1097,other vegetables,422,1
1098,zwieback,422,1
1099,newspapers,423,1
1100,white bread,423,1
1101,rolls/buns,423,1
1102,beverages,423,1
1103,brown bread,424,1
1104,butter milk,424,1
1105,canned vegetables,424,1
1106,soda,424,1
1107,chicken,425,1
1108,bottled water,425,1
1109,brown bread,426,1
1110,soda,426,1
1111,other vegetables,427,1
1112,cream cheese ,427,1
1113,liquor,427,1
1114,root vegetables,427,1
1115,newspapers,427,1
1116,hard cheese,427,1
1117,frankfurter,428,1
1118,rolls/buns,428,1
1119,meat,429,1
1120,whole milk,429,1
1121,whipped/sour cream,429,1
1122,bottled beer,430,1
1123,frozen vegetables,430,1
1124,sliced cheese,430,1
1125,pip fruit,431,1
1126,processed cheese,431,1
1127,canned beer,431,1
1128,berries,432,1
1129,condensed milk,432,1
1130,house keeping products,433,1
1131,rolls/buns,433,1
1132,pickled vegetables,433,1
1133,curd,433,1
1134,whole milk,434,1
1135,hair spray,434,1
1136,butter,434,1
1137,pastry,434,1
1138,ham,435,1
1139,yogurt,435,1
1140,grapes,436,1
1141,whole milk,436,1
1142,meat,437,1
1143,other vegetables,437,2
1144,specialty bar,438,1
1145,soda,439,1
1146,UHT/milk,439,1
1147,newspapers,439,1
1148,white bread,439,1
1149,citrus fruit,440,1
1150,brown bread,440,1
1151,tropical fruit,441,1
1152,sugar,441,1
1153,pastry,442,1
1154,condensed milk,442,1
1155,rice,442,1
1156,tropical fruit,442,1
1157,chocolate marshmallow,442,1
1158,coffee,443,1
1159,shopping bags,443,1
1160,bottled water,444,1
1161,citrus fruit,444,1
1162,root vegetables,445,1
1163,frozen vegetables,445,1
1164,chicken,446,1
1165,dishes,446,1
1166,rolls/buns,447,1
1167,oil,447,1
1168,yogurt,447,1
1169,pork,448,1
1170,soda,448,1
1171,canned vegetables,448,1
1172,pip fruit,449,1
1173,whole milk,449,1
1174,frozen vegetables,450,1
1175,rolls/buns,450,1
1176,cling film/bags,450,1
1177,bottled beer,451,1
1178,hygiene articles,451,1
1179,yogurt,452,1
1180,soda,452,1
1181,rolls/buns,453,1
1182,margarine,453,1
1183,condensed milk,454,1
1184,shopping bags,454,1
1185,popcorn,455,1
1186,citrus fruit,455,1
1187,sausage,456,1
1188,pastry,456,1
1189,root vegetables,457,1
1190,margarine,457,1
1191,rolls/buns,457,2
1192,whipped/sour cream,458,1
1193,newspapers,459,1
1194,pork,459,1
1195,root vegetables,459,1
1196,napkins,459,1
1197,misc. beverages,460,1
1198,whole milk,460,1
1199,long life bakery product,460,1
1200,citrus fruit,461,1
1201,soda,461,2
1202,roll products ,462,1
1203,frankfurter,463,1
1204,rolls/buns,463,1
1205,shopping bags,463,1
1206,margarine,463,1
