,Member_number,Date,itemDescription,InvoiceNum
202,1018,27/05/2014,berries,78
203,1018,27/05/2014,cake bar,78
204,1019,10/12/2014,hamburger meat,79
205,1019,10/12/2014,red/blush wine,79
206,1020,12/8/2014,canned beer,80
207,1020,12/8/2014,shopping bags,80
208,1020,13/10/2015,canned beer,81
209,1020,13/10/2015,spices,81
210,1020,13/10/2015,rolls/buns,81
211,1020,13/10/2015,frozen fish,81
212,1020,19/07/2014,frozen meals,82
213,1020,19/07/2014,butter,82
214,1020,19/07/2014,newspapers,82
215,1020,19/07/2014,yogurt,82
216,1021,7/11/2015,rolls/buns,83
217,1021,7/11/2015,baking powder,83
218,1021,22/10/2015,liquor,84
219,1021,22/10/2015,curd,84
220,1021,22/10/2015,yogurt,84
221,1021,22/10/2015,tropical fruit,84
222,1021,30/05/2014,sliced cheese,85
223,1021,30/05/2014,butter,85
224,1022,7/6/2014,sausage,86
225,1022,7/6/2014,fruit/vegetable juice,86
226,1022,22/02/2014,beef,87
227,1022,22/02/2014,napkins,87
228,1022,25/03/2014,whole milk,88
229,1022,25/03/2014,whipped/sour cream,88
230,1023,6/1/2015,whipped/sour cream,89
231,1023,6/1/2015,root vegetables,89
232,1023,6/1/2015,rolls/buns,89
233,1023,6/1/2015,packaged fruit/vegetables,89
234,1023,13/06/2014,domestic eggs,90
235,1023,13/06/2014,soda,90
236,1023,17/05/2014,chicken,91
237,1023,17/05/2014,frozen meals,91
238,1023,22/05/2014,male cosmetics,92
239,1023,22/05/2014,curd,92
240,1023,28/06/2015,white bread,93
241,1023,28/06/2015,bottled beer,93
242,1023,28/06/2015,yogurt,93
243,1023,28/06/2015,berries,93
244,1023,30/12/2014,sausage,94
245,1023,30/12/2014,whipped/sour cream,94
246,1023,30/12/2014,specialty bar,94
247,1024,10/8/2015,fish,95
248,1024,10/8/2015,root vegetables,95
249,1024,10/8/2015,tropical fruit,95
250,1024,10/8/2015,other vegetables,95
251,1025,6/2/2014,coffee,96
252,1025,6/2/2014,shopping bags,96
253,1025,10/3/2014,ham,97
254,1025,10/3/2014,cream cheese ,97
255,1025,19/08/2015,canned beer,98
256,1025,19/08/2015,UHT/milk,98
257,1026,8/3/2014,sausage,99
258,1026,8/3/2014,dessert,99
259,1026,8/3/2014,rolls/buns,99
260,1026,8/3/2014,pickled vegetables,99
261,1026,15/03/2015,fruit/vegetable juice,100
262,1026,15/03/2015,salty snack,100
263,1026,15/03/2015,candy,100
264,1026,15/03/2015,dental care,100
265,1026,15/03/2015,butter,100
266,1026,18/06/2014,root vegetables,101
267,1026,18/06/2014,long life bakery product,101
268,1026,23/08/2014,citrus fruit,102
269,1026,23/08/2014,yogurt,102
270,1026,28/05/2015,root vegetables,103
271,1026,28/05/2015,whipped/sour cream,103
272,1026,28/05/2015,root vegetables,103
273,1026,28/05/2015,canned beer,103
274,1027,14/05/2014,softener,104
275,1027,14/05/2014,salt,104
276,1027,14/05/2014,whole milk,104
277,1027,17/05/2015,pork,105
278,1027,17/05/2015,hamburger meat,105
279,1027,22/09/2014,rolls/buns,106
280,1027,22/09/2014,bottled water,106
281,1027,25/02/2015,rolls/buns,107
282,1027,25/02/2015,red/blush wine,107
283,1028,5/4/2014,rolls/buns,108
284,1028,5/4/2014,sugar,108
285,1028,10/11/2014,soda,109
286,1028,10/11/2014,butter,109
287,1028,2/6/2015,onions,110
288,1028,2/6/2015,canned beer,110
289,1028,2/6/2015,flower (seeds),110
290,1028,11/7/2015,specialty chocolate,111
291,1028,11/7/2015,root vegetables,111
292,1028,24/04/2014,rolls/buns,112
293,1028,24/04/2014,baking powder,112
294,1028,24/04/2014,onions,112
295,1028,24/04/2014,bottled water,112
296,1029,14/03/2015,dessert,113
297,1029,14/03/2015,ham,113
298,1031,4/3/2014,ice cream,114
299,1031,4/3/2014,pot plants,114
300,1031,15/10/2015,other vegetables,115
301,1031,15/10/2015,other vegetables,115
302,1031,15/10/2015,berries,115
303,1031,26/08/2015,beverages,116
304,1031,26/08/2015,cream cheese ,116
305,1032,13/07/2015,ice cream,117
306,1032,13/07/2015,whipped/sour cream,117
307,1032,15/06/2015,berries,118
308,1032,15/06/2015,soda,118
309,1032,15/06/2015,butter,118
310,1032,15/06/2015,other vegetables,118
311,1032,15/06/2015,white bread,118
312,1032,15/06/2015,cream cheese ,118
313,1032,23/08/2015,yogurt,119
314,1032,23/08/2015,root vegetables,119
315,1032,23/09/2014,white bread,120
316,1032,23/09/2014,whole milk,120
317,1032,23/09/2014,pastry,120
318,1032,23/09/2014,shopping bags,120
319,1032,26/01/2014,whipped/sour cream,121
320,1032,26/01/2014,newspapers,121
321,1033,2/3/2014,frankfurter,122
322,1033,2/3/2014,pastry,122
323,1033,15/06/2015,chicken,123
324,1033,15/06/2015,waffles,123
325,1033,18/04/2014,fruit/vegetable juice,124
326,1033,18/04/2014,dessert,124
327,1033,21/04/2014,sausage,125
328,1033,21/04/2014,snack products,125
329,1033,21/04/2014,rolls/buns,125
330,1033,22/04/2015,tropical fruit,126
331,1033,22/04/2015,soda,126
332,1033,22/04/2015,rolls/buns,126
333,1034,13/05/2014,tropical fruit,127
334,1034,13/05/2014,newspapers,127
335,1034,24/02/2014,pip fruit,128
336,1034,24/02/2014,cling film/bags,128
337,1034,24/02/2014,yogurt,128
338,1034,24/02/2014,cat food,128
339,1034,28/04/2014,bottled water,129
340,1034,28/04/2014,domestic eggs,129
341,1034,28/04/2014,frozen meals,129
342,1035,8/9/2015,whole milk,130
343,1035,8/9/2015,newspapers,130
344,1035,15/08/2014,pip fruit,131
345,1035,15/08/2014,white wine,131
346,1035,15/08/2014,white bread,131
347,1035,15/08/2014,salt,131
348,1035,23/05/2015,sausage,132
349,1035,23/05/2015,frozen vegetables,132
350,1035,24/04/2015,whole milk,133
351,1035,24/04/2015,yogurt,133
352,1035,24/04/2015,yogurt,133
353,1035,24/04/2015,rolls/buns,133
354,1035,25/06/2014,whole milk,134
355,1035,25/06/2014,frozen vegetables,134
356,1036,20/01/2014,fruit/vegetable juice,135
357,1036,20/01/2014,vinegar,135
358,1037,6/6/2014,citrus fruit,136
359,1037,6/6/2014,shopping bags,136
360,1037,6/6/2014,chewing gum,136
361,1037,6/6/2014,cake bar,136
362,1037,16/12/2015,frankfurter,137
363,1037,16/12/2015,yogurt,137
364,1037,16/12/2015,canned beer,137
365,1037,24/02/2014,tropical fruit,138
366,1037,24/02/2014,white bread,138
367,1037,24/02/2014,rolls/buns,138
368,1038,2/4/2015,whole milk,139
369,1038,2/4/2015,pip fruit,139
370,1038,2/4/2015,whipped/sour cream,139
371,1038,10/4/2015,other vegetables,140
372,1038,10/4/2015,specialty chocolate,140
373,1038,14/12/2015,Instant food products,141
374,1038,14/12/2015,whipped/sour cream,141
375,1038,14/12/2015,butter,141
376,1038,14/12/2015,cake bar,141
377,1038,21/02/2015,sausage,142
378,1038,21/02/2015,pork,142
379,1038,21/02/2015,butter,142
380,1038,21/02/2015,whole milk,142
381,1038,21/02/2015,fruit/vegetable juice,142
382,1038,23/04/2015,pip fruit,143
383,1038,23/04/2015,herbs,143
384,1038,23/04/2015,frozen meals,143
385,1038,28/01/2014,margarine,144
386,1038,28/01/2014,napkins,144
387,1039,31/05/2015,salty snack,145
388,1039,31/05/2015,rolls/buns,145
389,1040,3/9/2014,whole milk,146
390,1040,3/9/2014,pasta,146
391,1040,3/9/2014,rolls/buns,146
392,1040,14/06/2014,yogurt,147
393,1040,14/06/2014,rolls/buns,147
394,1040,24/10/2014,root vegetables,148
395,1040,24/10/2014,white bread,148
396,1040,26/11/2015,tropical fruit,149
397,1040,26/11/2015,chicken,149
398,1040,26/11/2015,onions,149
399,1040,26/11/2015,packaged fruit/vegetables,149
400,1041,7/7/2014,prosecco,150
401,1041,7/7/2014,dessert,150
402,1041,2/4/2015,hamburger meat,151
403,1041,2/4/2015,yogurt,151
404,1041,13/06/2014,chicken,152
405,1041,13/06/2014,frozen vegetables,152
406,1041,13/06/2014,candy,152
407,1041,29/06/2014,tropical fruit,153
408,1041,29/06/2014,brown bread,153
409,1041,29/06/2014,whole milk,153
410,1042,12/2/2015,beef,154
411,1042,12/2/2015,dessert,154
412,1042,16/10/2015,whole milk,155
413,1042,16/10/2015,other vegetables,155
414,1042,22/05/2015,citrus fruit,156
415,1042,22/05/2015,bottled water,156
416,1043,10/1/2015,citrus fruit,157
417,1043,10/1/2015,rolls/buns,157
418,1043,10/1/2015,whole milk,157
419,1043,14/03/2014,tropical fruit,158
420,1043,14/03/2014,sliced cheese,158
421,1043,16/06/2014,napkins,159
422,1043,16/06/2014,whole milk,159
423,1043,16/06/2014,chocolate marshmallow,159
424,1044,9/2/2015,tropical fruit,160
425,1044,9/2/2015,other vegetables,160
426,1044,25/10/2015,root vegetables,161
427,1044,25/10/2015,curd,161
428,1045,10/4/2014,fruit/vegetable juice,162
429,1045,10/4/2014,specialty chocolate,162
430,1045,10/4/2014,Instant food products,162
431,1045,12/1/2014,root vegetables,163
432,1045,12/1/2014,yogurt,163
433,1045,12/1/2014,butter,163
434,1045,12/1/2014,yogurt,163
435,1045,25/11/2015,chicken,164
436,1045,25/11/2015,onions,164
437,1046,18/06/2015,whole milk,165
438,1046,18/06/2015,pastry,165
439,1046,24/06/2015,pork,166
440,1046,24/06/2015,bottled water,166
441,1047,4/1/2015,curd,167
442,1047,4/1/2015,soda,167
443,1047,9/8/2015,sweet spreads,168
444,1047,9/8/2015,butter,168
445,1047,17/12/2014,pip fruit,169
446,1047,17/12/2014,soda,169
447,1048,6/10/2015,rolls/buns,170
448,1048,6/10/2015,condensed milk,170
449,1048,6/10/2015,whole milk,170
450,1048,6/10/2015,soda,170
451,1048,18/10/2015,rolls/buns,171
452,1048,18/10/2015,tropical fruit,171
453,1049,7/1/2014,specialty bar,172
454,1049,7/1/2014,margarine,172
455,1049,1/7/2015,butter,173
456,1049,1/7/2015,whole milk,173
457,1049,4/8/2015,white bread,174
458,1049,4/8/2015,candy,174
459,1049,5/9/2015,frankfurter,175
460,1049,5/9/2015,herbs,175
461,1050,6/3/2014,house keeping products,176
462,1050,6/3/2014,yogurt,176
463,1050,10/10/2014,whipped/sour cream,177
464,1050,10/10/2014,hygiene articles,177
465,1050,12/10/2014,UHT/milk,178
466,1050,12/10/2014,other vegetables,178
467,1050,12/10/2014,dishes,178
468,1050,4/5/2015,meat,179
469,1050,4/5/2015,whole milk,179
470,1050,15/02/2014,waffles,180
471,1050,15/02/2014,beverages,180
472,1050,30/05/2014,pasta,181
473,1050,30/05/2014,yogurt,181
474,1050,30/05/2014,cat food,181
475,1051,10/11/2015,fish,182
476,1051,10/11/2015,tropical fruit,182
477,1051,10/11/2015,red/blush wine,182
478,1051,10/11/2015,cream cheese ,182
479,1051,12/8/2015,other vegetables,183
480,1051,12/8/2015,soda,183
481,1051,12/8/2015,rolls/buns,183
482,1051,12/8/2015,dishes,183
483,1051,12/10/2015,tropical fruit,184
484,1051,12/10/2015,other vegetables,184
485,1051,12/10/2015,hamburger meat,184
486,1051,12/10/2015,popcorn,184
487,1051,12/10/2015,female sanitary products,184
488,1051,13/01/2014,hamburger meat,185
489,1051,13/01/2014,bottled beer,185
490,1051,17/09/2014,pork,186
491,1051,17/09/2014,coffee,186
492,1051,17/09/2014,frozen vegetables,186
493,1051,26/12/2014,shopping bags,187
494,1051,26/12/2014,shopping bags,187
495,1052,4/1/2014,beef,188
496,1052,4/1/2014,shopping bags,188
497,1052,5/12/2014,soda,189
498,1052,5/12/2014,hamburger meat,189
499,1052,6/7/2015,butter milk,190
500,1052,6/7/2015,yogurt,190
501,1052,6/7/2015,yogurt,190
502,1052,6/7/2015,margarine,190
503,1052,13/10/2014,soda,191
504,1052,13/10/2014,whole milk,191
505,1052,15/01/2014,root vegetables,192
506,1052,15/01/2014,grapes,192
507,1052,15/05/2015,frankfurter,193
508,1052,15/05/2015,whipped/sour cream,193
509,1052,20/11/2014,bottled water,194
510,1052,20/11/2014,chewing gum,194
511,1052,24/03/2014,chicken,195
512,1052,24/03/2014,beverages,195
513,1052,24/03/2014,coffee,195
514,1052,27/10/2015,pork,196
515,1052,27/10/2015,other vegetables,196
516,1052,27/10/2015,yogurt,196
517,1052,27/10/2015,shopping bags,196
518,1052,27/10/2015,soft cheese,196
519,1052,27/10/2015,detergent,196
520,1052,29/09/2014,butter,197
521,1052,29/09/2014,dog food,197
522,1053,5/11/2014,chicken,198
523,1053,5/11/2014,frozen vegetables,198
524,1053,10/12/2014,other vegetables,199
525,1053,10/12/2014,whole milk,199
526,1053,9/7/2015,hamburger meat,200
527,1053,9/7/2015,pastry,200
528,1053,16/05/2014,waffles,201
529,1053,16/05/2014,rolls/buns,201
530,1053,23/05/2014,whole milk,202
531,1053,23/05/2014,sugar,202
532,1053,30/04/2014,soda,203
533,1053,30/04/2014,soda,203
534,1054,2/9/2015,bottled beer,204
535,1054,2/9/2015,oil,204
536,1054,4/10/2015,frankfurter,205
537,1054,4/10/2015,citrus fruit,205
538,1054,4/10/2015,margarine,205
539,1054,16/01/2014,soda,206
540,1054,16/01/2014,fruit/vegetable juice,206
541,1054,21/10/2015,photo/film,207
542,1054,21/10/2015,other vegetables,207
543,1055,5/8/2014,pork,208
544,1055,5/8/2014,white wine,208
545,1055,25/05/2015,bottled water,209
546,1055,25/05/2015,yogurt,209
547,1055,25/05/2015,newspapers,209
548,1055,25/05/2015,soda,209
549,1056,9/11/2015,whipped/sour cream,210
550,1056,9/11/2015,meat spreads,210
551,1056,13/09/2015,pip fruit,211
552,1056,13/09/2015,other vegetables,211
553,1056,24/09/2014,ham,212
554,1056,24/09/2014,whole milk,212
555,1057,5/3/2014,salty snack,213
556,1057,5/3/2014,pickled vegetables,213
557,1057,6/1/2014,soda,214
558,1057,6/1/2014,domestic eggs,214
559,1057,6/1/2014,sliced cheese,214
560,1057,6/1/2014,soda,214
561,1057,8/6/2014,tropical fruit,215
562,1057,8/6/2014,UHT/milk,215
563,1058,7/8/2014,yogurt,216
564,1058,7/8/2014,root vegetables,216
565,1058,6/4/2015,sausage,217
566,1058,6/4/2015,bottled water,217
567,1058,10/11/2015,root vegetables,218
568,1058,10/11/2015,other vegetables,218
569,1058,24/05/2014,chicken,219
570,1058,24/05/2014,other vegetables,219
571,1059,11/6/2014,dessert,220
572,1059,11/6/2014,spread cheese,220
573,1059,14/06/2014,sausage,221
574,1059,14/06/2014,salty snack,221
575,1059,14/06/2014,cling film/bags,221
576,1061,5/9/2015,whole milk,222
577,1061,5/9/2015,tropical fruit,222
578,1061,5/9/2015,root vegetables,222
579,1061,5/9/2015,Instant food products,222
580,1061,5/9/2015,margarine,222
581,1061,17/03/2014,soda,223
582,1061,17/03/2014,fruit/vegetable juice,223
583,1061,17/03/2014,bottled beer,223
584,1061,19/05/2014,beef,224
585,1061,19/05/2014,chocolate,224
586,1061,23/10/2014,beverages,225
587,1061,23/10/2014,dessert,225
588,1061,31/07/2014,whipped/sour cream,226
589,1061,31/07/2014,hard cheese,226
590,1062,7/11/2014,ham,227
591,1062,7/11/2014,whipped/sour cream,227
592,1062,7/11/2014,ketchup,227
593,1062,8/5/2014,white bread,228
594,1062,8/5/2014,frozen fruits,228
595,1062,16/04/2015,tropical fruit,229
596,1062,16/04/2015,whole milk,229
597,1062,16/04/2015,other vegetables,229
598,1062,16/04/2015,long life bakery product,229
599,1062,18/09/2015,other vegetables,230
600,1062,18/09/2015,yogurt,230
601,1062,18/09/2015,whole milk,230
602,1062,18/09/2015,butter,230
603,1062,18/09/2015,shopping bags,230
604,1062,26/01/2014,whole milk,231
605,1062,26/01/2014,sauces,231
606,1063,7/6/2014,whole milk,232
607,1063,7/6/2014,citrus fruit,232
608,1063,23/01/2015,rolls/buns,233
609,1063,23/01/2015,candy,233
610,1064,3/9/2014,root vegetables,234
611,1064,3/9/2014,whole milk,234
612,1064,21/04/2014,cream cheese ,235
613,1064,21/04/2014,rolls/buns,235
614,1064,25/07/2015,long life bakery product,236
615,1064,25/07/2015,root vegetables,236
616,1064,25/07/2015,other vegetables,236
617,1065,5/11/2014,tropical fruit,237
618,1065,5/11/2014,rolls/buns,237
619,1065,13/11/2015,frankfurter,238
620,1065,13/11/2015,tropical fruit,238
621,1065,14/01/2014,tropical fruit,239
622,1065,14/01/2014,whole milk,239
623,1065,14/01/2014,long life bakery product,239
624,1065,14/01/2014,rum,239
625,1065,23/01/2014,hamburger meat,240
626,1065,23/01/2014,soda,240
627,1065,25/12/2014,red/blush wine,241
628,1065,25/12/2014,frozen fish,241
629,1065,27/10/2015,beef,242
630,1065,27/10/2015,dessert,242
631,1066,1/2/2014,root vegetables,243
632,1066,1/2/2014,bottled beer,243
633,1066,12/6/2014,oil,244
634,1066,12/6/2014,shopping bags,244
635,1066,15/05/2014,whole milk,245
636,1066,15/05/2014,other vegetables,245
637,1067,5/3/2015,whole milk,246
638,1067,5/3/2015,tropical fruit,246
639,1067,8/4/2015,hamburger meat,247
640,1067,8/4/2015,pork,247
641,1067,20/07/2015,rolls/buns,248
642,1067,20/07/2015,tropical fruit,248
643,1067,20/07/2015,coffee,248
644,1067,20/07/2015,chocolate,248
645,1068,8/3/2014,soda,249
646,1068,8/3/2014,yogurt,249
647,1068,1/7/2015,pork,250
648,1068,1/7/2015,spread cheese,250
649,1069,18/12/2014,salt,251
650,1069,18/12/2014,domestic eggs,251
651,1069,20/01/2014,pork,252
652,1069,20/01/2014,rolls/buns,252
653,1069,20/05/2014,brown bread,253
654,1069,20/05/2014,fruit/vegetable juice,253
655,1069,20/08/2015,bottled beer,254
656,1069,20/08/2015,tropical fruit,254
657,1069,20/08/2015,sliced cheese,254
658,1069,20/08/2015,dishes,254
659,1070,5/11/2014,cream cheese ,255
660,1070,5/11/2014,newspapers,255
661,1070,10/4/2014,citrus fruit,256
662,1070,10/4/2014,red/blush wine,256
663,1071,26/09/2014,yogurt,257
664,1071,26/09/2014,roll products ,257
665,1071,26/09/2014,fruit/vegetable juice,257
666,1072,23/06/2014,ham,258
667,1072,23/06/2014,other vegetables,258
668,1072,23/10/2015,frankfurter,259
669,1072,23/10/2015,canned beer,259
670,1073,5/6/2014,yogurt,260
671,1073,5/6/2014,bottled water,260
672,1073,5/6/2014,domestic eggs,260
673,1073,3/12/2015,finished products,261
674,1073,3/12/2015,brown bread,261
675,1073,3/12/2015,dishes,261
676,1073,8/6/2015,pip fruit,262
677,1073,8/6/2015,curd,262
678,1073,8/6/2015,pip fruit,262
679,1073,8/6/2015,prosecco,262
680,1073,21/03/2014,brown bread,263
681,1073,21/03/2014,salt,263
682,1074,4/2/2014,semi/finished bread,264
683,1074,4/2/2014,ketchup,264
684,1074,8/5/2014,oil,265
685,1074,8/5/2014,shopping bags,265
686,1074,16/10/2015,fruit/vegetable juice,266
687,1074,16/10/2015,flower (seeds),266
688,1074,24/06/2015,misc. beverages,267
689,1074,24/06/2015,instant coffee,267
690,1074,29/01/2014,detergent,268
691,1074,29/01/2014,candy,268
692,1075,19/06/2014,UHT/milk,269
693,1075,19/06/2014,canned fish,269
694,1075,19/11/2015,frankfurter,270
695,1075,19/11/2015,citrus fruit,270
696,1075,19/11/2015,bottled water,270
697,1075,19/11/2015,fruit/vegetable juice,270
698,1075,20/07/2015,frankfurter,271
699,1075,20/07/2015,frozen meals,271
700,1075,20/07/2015,dishes,271
701,1075,29/01/2015,pip fruit,272
702,1075,29/01/2015,rolls/buns,272
703,1076,12/6/2015,sausage,273
704,1076,12/6/2015,butter,273
705,1076,12/6/2015,bottled water,273
706,1076,14/05/2015,frankfurter,274
707,1076,14/05/2015,chicken,274
708,1076,14/05/2015,butter,274
709,1076,14/05/2015,bottled water,274
710,1076,14/10/2015,ham,275
711,1076,14/10/2015,whole milk,275
712,1076,14/10/2015,whole milk,275
713,1076,14/10/2015,coffee,275
714,1076,24/12/2014,sausage,276
715,1076,24/12/2014,brown bread,276
