,itemDescription,InvoiceNum
136,whole milk,63
137,salty snack,64
138,beef,64
139,fruit/vegetable juice,65
140,rolls/buns,65
141,chocolate,65
142,UHT/milk,66
143,bottled beer,66
144,chicken,67
145,pip fruit,68
146,rolls/buns,69
147,frankfurter,69
148,oil,69
149,pip fruit,69
150,brown bread,70
151,other vegetables,71
152,rolls/buns,71
153,yogurt,72
154,beef,72
155,other vegetables,73
156,root vegetables,73
157,soda,74
158,dessert,74
159,shopping bags,74
160,curd,75
161,long life bakery product,75
162,beverages,76
163,domestic eggs,76
164,butter milk,77
165,root vegetables,77
166,berries,78
167,hamburger meat,79
168,canned beer,80
169,shopping bags,80
170,canned beer,81
171,rolls/buns,81
172,frozen meals,82
173,butter,82
174,newspapers,82
175,yogurt,82
176,rolls/buns,83
177,curd,84
178,yogurt,84
179,tropical fruit,84
180,sliced cheese,85
181,butter,85
182,sausage,86
183,fruit/vegetable juice,86
184,beef,87
185,napkins,87
186,whole milk,88
187,whipped/sour cream,88
188,whipped/sour cream,89
189,root vegetables,89
190,rolls/buns,89
191,domestic eggs,90
192,soda,90
193,chicken,91
194,frozen meals,91
195,curd,92
196,white bread,93
197,bottled beer,93
198,yogurt,93
199,berries,93
200,sausage,94
201,whipped/sour cream,94
202,specialty bar,94
203,root vegetables,95
204,tropical fruit,95
205,other vegetables,95
206,coffee,96
207,shopping bags,96
208,ham,97
209,cream cheese ,97
210,canned beer,98
211,UHT/milk,98
212,sausage,99
213,dessert,99
214,rolls/buns,99
215,fruit/vegetable juice,100
216,salty snack,100
217,candy,100
218,butter,100
219,root vegetables,101
220,long life bakery product,101
221,citrus fruit,102
222,yogurt,102
223,root vegetables,103
224,whipped/sour cream,103
225,root vegetables,103
226,canned beer,103
227,whole milk,104
228,pork,105
229,hamburger meat,105
230,rolls/buns,106
231,bottled water,106
232,rolls/buns,107
233,rolls/buns,108
234,sugar,108
235,soda,109
236,butter,109
237,onions,110
238,canned beer,110
239,specialty chocolate,111
240,root vegetables,111
241,rolls/buns,112
242,onions,112
243,bottled water,112
244,dessert,113
245,ham,113
246,ice cream,114
247,other vegetables,115
248,other vegetables,115
249,berries,115
250,beverages,116
251,cream cheese ,116
252,ice cream,117
253,whipped/sour cream,117
254,berries,118
255,soda,118
256,butter,118
257,other vegetables,118
258,white bread,118
259,cream cheese ,118
260,yogurt,119
261,root vegetables,119
262,white bread,120
263,whole milk,120
264,pastry,120
265,shopping bags,120
266,whipped/sour cream,121
267,newspapers,121
268,frankfurter,122
269,pastry,122
270,chicken,123
271,waffles,123
272,fruit/vegetable juice,124
273,dessert,124
274,sausage,125
275,rolls/buns,125
276,tropical fruit,126
277,soda,126
278,rolls/buns,126
279,tropical fruit,127
280,newspapers,127
281,pip fruit,128
282,yogurt,128
283,bottled water,129
284,domestic eggs,129
285,frozen meals,129
286,whole milk,130
287,newspapers,130
288,pip fruit,131
289,white bread,131
290,sausage,132
291,frozen vegetables,132
292,whole milk,133
293,yogurt,133
294,yogurt,133
295,rolls/buns,133
296,whole milk,134
297,frozen vegetables,134
298,fruit/vegetable juice,135
299,citrus fruit,136
300,shopping bags,136
301,frankfurter,137
302,yogurt,137
303,canned beer,137
304,tropical fruit,138
305,white bread,138
306,rolls/buns,138
307,whole milk,139
308,pip fruit,139
309,whipped/sour cream,139
310,other vegetables,140
311,specialty chocolate,140
312,whipped/sour cream,141
313,butter,141
314,sausage,142
315,pork,142
316,butter,142
317,whole milk,142
318,fruit/vegetable juice,142
319,pip fruit,143
320,frozen meals,143
321,margarine,144
322,napkins,144
323,salty snack,145
324,rolls/buns,145
325,whole milk,146
326,rolls/buns,146
327,yogurt,147
328,rolls/buns,147
329,root vegetables,148
330,white bread,148
331,tropical fruit,149
332,chicken,149
333,onions,149
334,dessert,150
335,hamburger meat,151
336,yogurt,151
337,chicken,152
338,frozen vegetables,152
339,candy,152
340,tropical fruit,153
341,brown bread,153
342,whole milk,153
343,beef,154
344,dessert,154
345,whole milk,155
346,other vegetables,155
347,citrus fruit,156
348,bottled water,156
349,citrus fruit,157
350,rolls/buns,157
351,whole milk,157
352,tropical fruit,158
353,sliced cheese,158
354,napkins,159
355,whole milk,159
356,tropical fruit,160
357,other vegetables,160
358,root vegetables,161
359,curd,161
360,fruit/vegetable juice,162
361,specialty chocolate,162
362,root vegetables,163
363,yogurt,163
364,butter,163
365,yogurt,163
366,chicken,164
367,onions,164
368,whole milk,165
369,pastry,165
370,pork,166
371,bottled water,166
372,curd,167
373,soda,167
374,butter,168
375,pip fruit,169
376,soda,169
377,rolls/buns,170
378,whole milk,170
379,soda,170
380,rolls/buns,171
381,tropical fruit,171
382,specialty bar,172
383,margarine,172
384,butter,173
385,whole milk,173
386,white bread,174
387,candy,174
388,frankfurter,175
389,yogurt,176
390,whipped/sour cream,177
391,hygiene articles,177
392,UHT/milk,178
393,other vegetables,178
394,meat,179
395,whole milk,179
396,waffles,180
397,beverages,180
398,yogurt,181
399,tropical fruit,182
400,cream cheese ,182
401,other vegetables,183
402,soda,183
403,rolls/buns,183
404,tropical fruit,184
405,other vegetables,184
406,hamburger meat,184
407,hamburger meat,185
408,bottled beer,185
409,pork,186
410,coffee,186
411,frozen vegetables,186
412,shopping bags,187
413,shopping bags,187
414,beef,188
415,shopping bags,188
416,soda,189
417,hamburger meat,189
418,butter milk,190
419,yogurt,190
420,yogurt,190
421,margarine,190
422,soda,191
423,whole milk,191
424,root vegetables,192
425,grapes,192
426,frankfurter,193
427,whipped/sour cream,193
428,bottled water,194
429,chicken,195
430,beverages,195
431,coffee,195
432,pork,196
433,other vegetables,196
434,yogurt,196
435,shopping bags,196
436,butter,197
437,chicken,198
438,frozen vegetables,198
439,other vegetables,199
440,whole milk,199
441,hamburger meat,200
442,pastry,200
443,waffles,201
444,rolls/buns,201
445,whole milk,202
446,sugar,202
447,soda,203
448,soda,203
449,bottled beer,204
450,oil,204
451,frankfurter,205
452,citrus fruit,205
453,margarine,205
454,soda,206
455,fruit/vegetable juice,206
456,other vegetables,207
457,pork,208
458,bottled water,209
459,yogurt,209
460,newspapers,209
461,soda,209
462,whipped/sour cream,210
463,pip fruit,211
464,other vegetables,211
465,ham,212
466,whole milk,212
467,salty snack,213
468,soda,214
469,domestic eggs,214
470,sliced cheese,214
471,soda,214
472,tropical fruit,215
473,UHT/milk,215
474,yogurt,216
475,root vegetables,216
476,sausage,217
477,bottled water,217
478,root vegetables,218
479,other vegetables,218
480,chicken,219
481,other vegetables,219
482,dessert,220
483,sausage,221
484,salty snack,221
485,whole milk,222
486,tropical fruit,222
487,root vegetables,222
488,margarine,222
489,soda,223
490,fruit/vegetable juice,223
491,bottled beer,223
492,beef,224
493,chocolate,224
494,beverages,225
495,dessert,225
496,whipped/sour cream,226
497,hard cheese,226
498,ham,227
499,whipped/sour cream,227
500,white bread,228
501,tropical fruit,229
502,whole milk,229
503,other vegetables,229
504,long life bakery product,229
505,other vegetables,230
506,yogurt,230
507,whole milk,230
508,butter,230
509,shopping bags,230
510,whole milk,231
511,whole milk,232
512,citrus fruit,232
513,rolls/buns,233
514,candy,233
515,root vegetables,234
516,whole milk,234
517,cream cheese ,235
518,rolls/buns,235
519,long life bakery product,236
520,root vegetables,236
521,other vegetables,236
522,tropical fruit,237
523,rolls/buns,237
524,frankfurter,238
525,tropical fruit,238
526,tropical fruit,239
527,whole milk,239
528,long life bakery product,239
529,hamburger meat,240
530,soda,240
531,beef,242
532,dessert,242
533,root vegetables,243
534,bottled beer,243
535,oil,244
536,shopping bags,244
537,whole milk,245
538,other vegetables,245
539,whole milk,246
540,tropical fruit,246
541,hamburger meat,247
542,pork,247
543,rolls/buns,248
544,tropical fruit,248
545,coffee,248
546,chocolate,248
547,soda,249
548,yogurt,249
549,pork,250
550,domestic eggs,251
551,pork,252
552,rolls/buns,252
553,brown bread,253
554,fruit/vegetable juice,253
555,bottled beer,254
556,tropical fruit,254
557,sliced cheese,254
558,cream cheese ,255
559,newspapers,255
560,citrus fruit,256
561,yogurt,257
562,fruit/vegetable juice,257
563,ham,258
564,other vegetables,258
565,frankfurter,259
566,canned beer,259
567,yogurt,260
568,bottled water,260
569,domestic eggs,260
570,brown bread,261
571,pip fruit,262
572,curd,262
573,pip fruit,262
574,brown bread,263
575,oil,265
576,shopping bags,265
577,fruit/vegetable juice,266
578,misc. beverages,267
579,candy,268
580,UHT/milk,269
581,frankfurter,270
582,citrus fruit,270
583,bottled water,270
584,fruit/vegetable juice,270
585,frankfurter,271
586,frozen meals,271
587,pip fruit,272
588,rolls/buns,272
589,sausage,273
590,butter,273
591,bottled water,273
592,frankfurter,274
593,chicken,274
594,butter,274
595,bottled water,274
596,ham,275
597,whole milk,275
598,whole milk,275
599,coffee,275
600,sausage,276
601,brown bread,276
602,other vegetables,277
603,butter,277
604,tropical fruit,278
605,soda,278
606,pastry,279
607,white bread,280
608,brown bread,280
609,canned beer,281
610,rolls/buns,281
611,soda,281
612,rolls/buns,282
613,root vegetables,282
614,chicken,283
615,soda,283
616,frankfurter,284
617,curd,284
618,white bread,284
619,rolls/buns,284
620,coffee,284
621,bottled water,285
622,rolls/buns,286
623,onions,286
624,napkins,286
625,canned beer,287
626,soda,287
627,root vegetables,288
628,frozen vegetables,288
629,beverages,289
630,yogurt,289
631,specialty bar,290
632,tropical fruit,290
633,yogurt,290
634,bottled beer,290
635,other vegetables,291
636,frankfurter,291
637,newspapers,291
638,whole milk,291
639,pastry,291
640,tropical fruit,292
641,whole milk,292
642,coffee,293
643,butter milk,293
644,beef,294
645,margarine,294
646,other vegetables,294
647,bottled water,295
648,hygiene articles,295
649,pork,296
650,sliced cheese,296
651,specialty chocolate,297
652,soda,297
653,hamburger meat,298
654,whole milk,298
655,pip fruit,299
656,other vegetables,299
657,root vegetables,300
658,citrus fruit,300
659,other vegetables,301
660,shopping bags,301
661,soda,301
662,yogurt,302
663,newspapers,302
664,ice cream,303
665,whipped/sour cream,303
666,other vegetables,304
667,beef,304
668,soda,304
669,curd,304
670,butter,304
671,canned beer,305
672,margarine,305
673,rolls/buns,306
674,soda,306
675,rolls/buns,307
676,citrus fruit,307
677,coffee,308
678,berries,308
679,ham,309
680,white bread,309
681,soda,311
682,sausage,312
683,pip fruit,312
684,chocolate,312
685,specialty chocolate,313
686,white bread,313
687,whole milk,314
688,whole milk,314
689,other vegetables,315
690,whole milk,315
691,sausage,316
692,beverages,316
693,whole milk,317
694,hard cheese,317
695,yogurt,318
696,berries,318
697,tropical fruit,319
698,meat,319
699,other vegetables,319
700,domestic eggs,319
701,yogurt,320
702,beef,321
703,yogurt,321
704,ice cream,322
705,whole milk,322
706,sausage,323
707,specialty chocolate,323
708,yogurt,323
709,napkins,323
710,pastry,323
711,yogurt,324
712,newspapers,324
713,shopping bags,325
714,frankfurter,326
715,other vegetables,326
716,bottled beer,326
717,root vegetables,327
718,soda,327
719,specialty bar,327
720,other vegetables,327
721,frozen vegetables,327
722,rolls/buns,328
723,grapes,328
724,bottled beer,328
725,sausage,328
726,salty snack,328
727,domestic eggs,328
728,bottled water,328
729,dessert,329
730,domestic eggs,329
731,whole milk,330
732,brown bread,330
733,hamburger meat,331
734,sausage,332
735,tropical fruit,332
736,misc. beverages,332
737,root vegetables,332
738,sausage,333
739,whole milk,333
740,tropical fruit,334
741,soda,334
742,newspapers,335
743,salty snack,335
744,whole milk,336
745,waffles,336
746,other vegetables,337
747,yogurt,339
748,shopping bags,339
749,bottled water,340
750,pork,340
751,domestic eggs,340
752,pip fruit,341
753,fruit/vegetable juice,341
754,shopping bags,342
755,root vegetables,342
756,whipped/sour cream,343
757,curd,343
758,shopping bags,343
759,tropical fruit,344
760,whole milk,344
761,soda,344
762,curd,344
763,sausage,345
764,whole milk,345
765,frankfurter,346
766,whipped/sour cream,346
767,bottled water,346
768,hard cheese,347
769,whole milk,347
770,tropical fruit,348
771,citrus fruit,348
772,yogurt,348
773,frankfurter,348
774,specialty chocolate,348
775,hard cheese,348
776,whole milk,348
777,canned beer,348
778,canned beer,349
779,napkins,349
780,rolls/buns,349
781,grapes,350
782,other vegetables,350
783,rolls/buns,351
784,shopping bags,351
785,tropical fruit,352
786,candy,352
787,citrus fruit,353
788,dessert,353
789,root vegetables,354
790,frozen vegetables,354
791,bottled water,354
792,pork,355
793,pip fruit,356
794,brown bread,356
795,root vegetables,357
796,soda,358
797,hygiene articles,358
798,grapes,358
799,butter milk,358
800,butter,358
801,whole milk,359
802,yogurt,359
803,hamburger meat,360
804,whole milk,361
805,brown bread,362
806,rolls/buns,363
807,other vegetables,363
808,whipped/sour cream,363
809,candy,364
810,root vegetables,365
811,frozen vegetables,365
812,other vegetables,366
813,white bread,366
814,yogurt,367
815,beverages,367
816,brown bread,367
817,ice cream,368
818,yogurt,369
819,chicken,370
820,pastry,370
821,waffles,371
822,hygiene articles,371
823,yogurt,372
824,root vegetables,372
825,yogurt,373
826,other vegetables,373
827,rolls/buns,373
828,domestic eggs,374
829,yogurt,374
830,pork,375
831,whole milk,375
832,other vegetables,376
833,white bread,376
834,bottled water,377
835,yogurt,377
836,tropical fruit,377
837,whole milk,377
838,citrus fruit,378
839,misc. beverages,378
840,chicken,379
841,rolls/buns,379
842,shopping bags,379
843,citrus fruit,380
844,misc. beverages,380
845,whole milk,381
846,pastry,381
847,onions,382
848,newspapers,382
849,beef,383
850,newspapers,383
851,rolls/buns,384
852,shopping bags,385
853,rolls/buns,385
854,pastry,386
855,canned beer,386
856,whipped/sour cream,386
857,grapes,386
858,salty snack,387
859,pastry,387
860,oil,387
861,brown bread,389
862,whole milk,389
863,shopping bags,389
864,citrus fruit,390
865,frozen vegetables,390
866,margarine,390
867,curd,391
868,sugar,391
869,chocolate,392
870,whole milk,392
871,pip fruit,393
872,salty snack,393
873,pastry,393
874,pip fruit,394
875,margarine,394
876,soda,395
877,salty snack,395
878,ham,396
879,yogurt,396
880,bottled water,397
881,chocolate,397
882,pastry,398
883,butter,398
884,margarine,398
885,curd,398
886,whole milk,399
887,soda,399
888,margarine,401
889,yogurt,401
890,whole milk,402
891,frozen vegetables,402
892,soda,402
893,UHT/milk,402
894,other vegetables,403
895,whipped/sour cream,403
896,beef,404
897,bottled water,405
898,sugar,405
899,ice cream,406
900,newspapers,406
901,curd,407
902,canned beer,407
903,whole milk,408
904,yogurt,408
905,newspapers,408
906,bottled beer,409
907,specialty bar,409
908,pork,410
909,domestic eggs,410
910,root vegetables,411
911,shopping bags,411
912,misc. beverages,412
913,UHT/milk,412
914,white bread,412
915,sausage,413
916,dessert,413
917,shopping bags,413
918,root vegetables,414
919,citrus fruit,414
920,chocolate,415
921,brown bread,415
922,salty snack,415
923,chicken,416
924,shopping bags,416
925,other vegetables,417
926,butter,417
927,whipped/sour cream,418
928,yogurt,418
929,other vegetables,419
930,yogurt,419
931,root vegetables,420
932,other vegetables,421
933,napkins,421
934,other vegetables,422
935,newspapers,423
936,white bread,423
937,rolls/buns,423
938,beverages,423
939,brown bread,424
940,butter milk,424
941,soda,424
942,chicken,425
943,bottled water,425
944,brown bread,426
945,soda,426
946,other vegetables,427
947,cream cheese ,427
948,root vegetables,427
949,newspapers,427
950,hard cheese,427
951,frankfurter,428
952,rolls/buns,428
953,meat,429
954,whole milk,429
955,whipped/sour cream,429
956,bottled beer,430
957,frozen vegetables,430
958,sliced cheese,430
959,pip fruit,431
960,canned beer,431
961,berries,432
962,rolls/buns,433
963,curd,433
964,whole milk,434
965,butter,434
966,pastry,434
967,ham,435
968,yogurt,435
969,grapes,436
970,whole milk,436
971,meat,437
972,other vegetables,437
973,other vegetables,438
974,specialty bar,438
975,soda,439
976,UHT/milk,439
977,newspapers,439
978,white bread,439
979,citrus fruit,440
980,brown bread,440
981,tropical fruit,441
982,sugar,441
983,pastry,442
984,tropical fruit,442
985,coffee,443
986,shopping bags,443
987,bottled water,444
988,citrus fruit,444
989,root vegetables,445
990,frozen vegetables,445
991,chicken,446
992,rolls/buns,447
993,oil,447
994,yogurt,447
995,pork,448
996,soda,448
997,pip fruit,449
998,whole milk,449
999,frozen vegetables,450
1000,rolls/buns,450
1001,bottled beer,451
1002,hygiene articles,451
1003,yogurt,452
1004,soda,452
1005,rolls/buns,453
1006,margarine,453
1007,shopping bags,454
1008,citrus fruit,455
1009,sausage,456
1010,pastry,456
1011,root vegetables,457
1012,margarine,457
1013,rolls/buns,457
1014,rolls/buns,458
1015,whipped/sour cream,458
1016,newspapers,459
1017,pork,459
1018,root vegetables,459
1019,napkins,459
1020,misc. beverages,460
1021,whole milk,460
1022,long life bakery product,460
1023,citrus fruit,461
1024,soda,461
1025,soda,462
1026,frankfurter,463
1027,rolls/buns,463
1028,shopping bags,463
1029,margarine,463
1030,other vegetables,464
1031,butter,464
1032,pastry,464
1033,UHT/milk,464
1034,frankfurter,465
1035,white bread,465
1036,meat,466
1037,coffee,466
1038,domestic eggs,467
1039,specialty bar,468
1040,soda,468
1041,frozen vegetables,468
1042,frozen vegetables,468
1043,grapes,469
1044,frozen meals,469
1045,yogurt,470
1046,shopping bags,470
1047,brown bread,470
1048,cream cheese ,472
1049,specialty chocolate,472
1050,whole milk,473
1051,margarine,474
1052,soda,474
1053,tropical fruit,475
1054,cream cheese ,475
1055,cream cheese ,475
1056,yogurt,476
1057,bottled water,477
1058,frankfurter,477
1059,dessert,477
1060,root vegetables,477
1061,other vegetables,478
1062,other vegetables,478
1063,rolls/buns,478
1064,shopping bags,478
1065,salty snack,478
1066,soda,479
1067,whole milk,479
1068,bottled beer,480
1069,whole milk,480
1070,yogurt,481
1071,pastry,481
1072,curd,482
1073,domestic eggs,482
1074,coffee,483
1075,shopping bags,483
1076,shopping bags,483
1077,sausage,484
1078,rolls/buns,484
1079,pork,485
1080,whole milk,485
1081,napkins,485
1082,other vegetables,486
1083,oil,486
1084,pastry,487
1085,brown bread,487
1086,yogurt,487
1087,cream cheese ,488
1088,newspapers,488
1089,sausage,489
1090,shopping bags,489
1091,soda,489
1092,butter,489
1093,dessert,489
1094,soda,489
1095,hard cheese,490
1096,butter,490
1097,whole milk,491
1098,other vegetables,491
1099,citrus fruit,492
1100,rolls/buns,493
1101,fruit/vegetable juice,493
1102,tropical fruit,494
1103,butter milk,494
1104,brown bread,494
1105,tropical fruit,495
1106,whole milk,495
1107,citrus fruit,496
1108,root vegetables,497
1109,butter milk,497
1110,shopping bags,498
1111,tropical fruit,499
1112,other vegetables,499
1113,other vegetables,500
1114,beef,500
1115,canned beer,501
1116,whole milk,502
1117,other vegetables,502
1118,other vegetables,502
1119,sugar,502
1120,citrus fruit,503
1121,napkins,503
1122,whole milk,504
1123,root vegetables,504
1124,rolls/buns,505
1125,butter milk,505
1126,rolls/buns,506
1127,brown bread,506
1128,canned beer,506
1129,tropical fruit,507
1130,tropical fruit,508
1131,misc. beverages,508
1132,pork,509
1133,frankfurter,510
1134,other vegetables,510
1135,curd,510
1136,waffles,510
1137,pip fruit,511
1138,other vegetables,511
1139,rolls/buns,512
1140,whole milk,512
1141,soda,512
1142,tropical fruit,513
1143,yogurt,513
1144,rolls/buns,514
1145,berries,515
1146,white bread,515
1147,rolls/buns,516
1148,soda,516
1149,chicken,517
1150,brown bread,517
1151,other vegetables,518
1152,napkins,518
1153,newspapers,519
1154,UHT/milk,520
1155,soda,520
1156,pork,521
1157,soda,521
1158,oil,522
1159,soda,523
1160,whole milk,523
1161,whole milk,523
1162,sugar,523
1163,misc. beverages,524
1164,pork,525
1165,domestic eggs,525
1166,root vegetables,526
1167,coffee,526
1168,meat,527
1169,whole milk,527
1170,canned beer,528
1171,hard cheese,529
1172,root vegetables,529
1173,white bread,529
1174,chicken,530
1175,domestic eggs,530
1176,white bread,530
1177,soda,531
1178,whipped/sour cream,531
1179,brown bread,532
1180,other vegetables,532
1181,tropical fruit,533
1182,root vegetables,533
1183,bottled beer,534
1184,soda,534
1185,bottled water,535
1186,shopping bags,535
1187,waffles,535
1188,whole milk,536
1189,bottled beer,536
1190,pork,537
1191,margarine,537
1192,frozen vegetables,538
1193,pip fruit,538
1194,root vegetables,538
1195,yogurt,539
1196,soda,539
1197,yogurt,539
1198,other vegetables,540
1199,berries,540
1200,candy,540
1201,sliced cheese,540
1202,curd,541
1203,soda,542
1204,whole milk,542
1205,frozen meals,543
1206,specialty chocolate,544
1207,soda,545
1208,other vegetables,545
1209,pork,546
1210,tropical fruit,546
1211,pork,547
1212,yogurt,547
1213,yogurt,548
1214,sausage,548
1215,whole milk,548
1216,shopping bags,548
1217,white bread,548
1218,sliced cheese,548
1219,soda,549
1220,other vegetables,549
1221,root vegetables,550
1222,soda,550
1223,long life bakery product,550
1224,soda,551
1225,bottled beer,551
1226,chicken,551
1227,yogurt,551
1228,frozen vegetables,552
1229,yogurt,552
1230,long life bakery product,553
1231,rolls/buns,553
1232,UHT/milk,553
1233,bottled water,553
1234,other vegetables,554
1235,fruit/vegetable juice,554
1236,canned beer,555
1237,sugar,555
1238,pip fruit,556
1239,berries,556
1240,curd,557
1241,berries,558
1242,pip fruit,558
1243,pastry,558
1244,whole milk,559
1245,rolls/buns,559
1246,pork,560
1247,domestic eggs,560
1248,soda,561
1249,frozen meals,561
1250,soda,562
1251,whole milk,563
1252,bottled beer,563
1253,whole milk,564
1254,grapes,564
1255,butter,565
1256,ice cream,565
1257,chicken,566
1258,frankfurter,567
1259,tropical fruit,568
1260,rolls/buns,568
1261,canned beer,568
1262,root vegetables,569
1263,other vegetables,569
1264,frozen vegetables,569
1265,rolls/buns,570
1266,citrus fruit,571
1267,sausage,571
1268,whole milk,571
1269,canned beer,571
1270,whole milk,572
1271,sausage,572
1272,yogurt,572
1273,whole milk,573
1274,frankfurter,574
1275,berries,575
1276,other vegetables,575
1277,tropical fruit,576
1278,UHT/milk,576
1279,napkins,576
1280,whole milk,576
1281,beef,577
1282,curd,577
1283,frozen meals,577
1284,rolls/buns,578
1285,other vegetables,578
1286,butter,578
1287,root vegetables,578
1288,rolls/buns,578
1289,whole milk,579
1290,bottled water,579
1291,yogurt,580
1292,citrus fruit,580
1293,whole milk,581
1294,cream cheese ,581
1295,frozen vegetables,582
1296,domestic eggs,582
1297,citrus fruit,583
1298,soda,583
1299,citrus fruit,584
1300,yogurt,585
1301,whole milk,585
1302,whole milk,586
1303,root vegetables,586
1304,butter,587
1305,pip fruit,588
1306,tropical fruit,588
1307,domestic eggs,589
1308,beef,589
1309,coffee,589
1310,bottled beer,589
1311,shopping bags,590
1312,frozen meals,590
1313,other vegetables,591
1314,yogurt,591
1315,whole milk,591
1316,beef,592
1317,newspapers,592
1318,bottled beer,592
1319,misc. beverages,593
1320,coffee,593
1321,canned beer,594
1322,citrus fruit,594
1323,white bread,595
1324,yogurt,595
1325,salty snack,596
1326,canned beer,597
1327,berries,597
1328,fruit/vegetable juice,597
1329,sausage,598
1330,bottled water,598
1331,whole milk,599
1332,beef,599
1333,citrus fruit,599
1334,newspapers,599
1335,bottled water,599
1336,white bread,600
1337,frozen vegetables,600
1338,other vegetables,601
1339,sliced cheese,601
1340,whole milk,602
1341,root vegetables,602
1342,beef,603
1343,frozen vegetables,604
1344,whole milk,604
1345,pork,605
1346,chocolate,605
1347,curd,606
1348,bottled water,607
1349,tropical fruit,607
1350,root vegetables,608
1351,brown bread,608
1352,rolls/buns,609
1353,other vegetables,609
1354,coffee,610
1355,domestic eggs,610
1356,frankfurter,611
1357,frozen vegetables,611
1358,bottled beer,612
1359,whole milk,612
1360,UHT/milk,612
1361,chocolate,612
1362,long life bakery product,613
1363,soda,614
1364,soda,615
1365,margarine,615
1366,bottled water,616
1367,napkins,617
1368,other vegetables,618
1369,rolls/buns,618
1370,napkins,619
1371,napkins,619
1372,bottled beer,620
1373,waffles,621
1374,whole milk,621
1375,other vegetables,621
1376,white bread,621
1377,newspapers,622
1378,whipped/sour cream,622
1379,chocolate,623
1380,shopping bags,623
1381,chicken,624
1382,pip fruit,624
1383,citrus fruit,625
1384,whipped/sour cream,625
1385,whole milk,626
1386,pork,626
1387,rolls/buns,626
1388,soda,626
1389,bottled water,626
1390,bottled water,626
1391,pip fruit,627
1392,whipped/sour cream,627
1393,whole milk,628
1394,whole milk,629
1395,canned beer,629
1396,soda,630
1397,whipped/sour cream,630
1398,other vegetables,631
1399,soda,631
1400,brown bread,632
1401,bottled water,633
1402,onions,633
1403,specialty chocolate,634
1404,beverages,634
1405,specialty bar,635
1406,newspapers,635
1407,bottled beer,636
1408,fruit/vegetable juice,636
1409,rolls/buns,636
1410,rolls/buns,637
1411,margarine,637
1412,hard cheese,638
1413,rolls/buns,638
1414,rolls/buns,639
1415,fruit/vegetable juice,639
1416,pip fruit,641
1417,whipped/sour cream,641
1418,citrus fruit,642
1419,root vegetables,643
1420,hamburger meat,644
1421,other vegetables,644
1422,whole milk,645
1423,citrus fruit,645
1424,shopping bags,645
1425,soda,645
1426,yogurt,645
1427,oil,646
1428,citrus fruit,647
1429,brown bread,647
1430,specialty chocolate,647
1431,bottled water,648
1432,yogurt,648
1433,beef,648
1434,berries,648
1435,chocolate,648
1436,butter,648
1437,hard cheese,649
1438,sugar,649
1439,bottled water,649
1440,soda,650
1441,whole milk,650
1442,tropical fruit,651
