,itemDescription,InvoiceNum
136,processed cheese,50
137,whole milk,50
138,root vegetables,51
139,mayonnaise,51
140,frozen meals,52
141,whole milk,52
142,white bread,53
143,meat,53
144,domestic eggs,53
145,roll products ,53
146,other vegetables,54
147,mustard,54
148,hard cheese,55
149,napkins,55
150,bottled water,55
151,whole milk,56
152,candy,56
153,tropical fruit,57
154,frozen vegetables,57
155,mustard,58
156,whipped/sour cream,58
157,hamburger meat,59
158,butter milk,59
159,whole milk,60
160,rolls/buns,60
161,whole milk,61
162,sausage,61
163,bottled beer,61
164,yogurt,61
165,canned beer,62
166,cookware,62
167,citrus fruit,63
168,whole milk,63
169,salty snack,64
170,beef,64
171,fruit/vegetable juice,65
172,rolls/buns,65
173,chocolate,65
174,UHT/milk,66
175,bottled beer,66
176,chicken,67
177,red/blush wine,67
178,soft cheese,68
179,pip fruit,68
180,rolls/buns,69
181,frankfurter,69
182,oil,69
183,pip fruit,69
184,mayonnaise,69
185,brown bread,70
186,pet care,70
187,other vegetables,71
188,rolls/buns,71
189,yogurt,72
190,beef,72
191,other vegetables,73
192,root vegetables,73
193,soda,74
194,dessert,74
195,shopping bags,74
196,curd,75
197,long life bakery product,75
198,beverages,76
199,domestic eggs,76
200,butter milk,77
201,root vegetables,77
202,berries,78
203,cake bar,78
204,hamburger meat,79
205,red/blush wine,79
206,canned beer,80
207,shopping bags,80
208,canned beer,81
209,spices,81
210,rolls/buns,81
211,frozen fish,81
212,frozen meals,82
213,butter,82
214,newspapers,82
215,yogurt,82
216,rolls/buns,83
217,baking powder,83
218,liquor,84
219,curd,84
220,yogurt,84
221,tropical fruit,84
222,sliced cheese,85
223,butter,85
224,sausage,86
225,fruit/vegetable juice,86
226,beef,87
227,napkins,87
228,whole milk,88
229,whipped/sour cream,88
230,whipped/sour cream,89
231,root vegetables,89
232,rolls/buns,89
233,packaged fruit/vegetables,89
234,domestic eggs,90
235,soda,90
236,chicken,91
237,frozen meals,91
238,male cosmetics,92
239,curd,92
240,white bread,93
241,bottled beer,93
242,yogurt,93
243,berries,93
244,sausage,94
245,whipped/sour cream,94
246,specialty bar,94
247,fish,95
248,root vegetables,95
249,tropical fruit,95
250,other vegetables,95
251,coffee,96
252,shopping bags,96
253,ham,97
254,cream cheese ,97
255,canned beer,98
256,UHT/milk,98
257,sausage,99
258,dessert,99
259,rolls/buns,99
260,pickled vegetables,99
261,fruit/vegetable juice,100
262,salty snack,100
263,candy,100
264,dental care,100
265,butter,100
266,root vegetables,101
267,long life bakery product,101
268,citrus fruit,102
269,yogurt,102
270,root vegetables,103
271,whipped/sour cream,103
272,root vegetables,103
273,canned beer,103
274,softener,104
275,salt,104
276,whole milk,104
277,pork,105
278,hamburger meat,105
279,rolls/buns,106
280,bottled water,106
281,rolls/buns,107
282,red/blush wine,107
283,rolls/buns,108
284,sugar,108
285,soda,109
286,butter,109
287,onions,110
288,canned beer,110
289,flower (seeds),110
290,specialty chocolate,111
291,root vegetables,111
292,rolls/buns,112
293,baking powder,112
294,onions,112
295,bottled water,112
296,dessert,113
297,ham,113
298,ice cream,114
299,pot plants,114
300,other vegetables,115
301,other vegetables,115
302,berries,115
303,beverages,116
304,cream cheese ,116
305,ice cream,117
306,whipped/sour cream,117
307,berries,118
308,soda,118
309,butter,118
310,other vegetables,118
311,white bread,118
312,cream cheese ,118
313,yogurt,119
314,root vegetables,119
315,white bread,120
316,whole milk,120
317,pastry,120
318,shopping bags,120
319,whipped/sour cream,121
320,newspapers,121
321,frankfurter,122
322,pastry,122
323,chicken,123
324,waffles,123
325,fruit/vegetable juice,124
326,dessert,124
327,sausage,125
328,snack products,125
329,rolls/buns,125
330,tropical fruit,126
331,soda,126
332,rolls/buns,126
333,tropical fruit,127
334,newspapers,127
335,pip fruit,128
336,cling film/bags,128
337,yogurt,128
338,cat food,128
339,bottled water,129
340,domestic eggs,129
341,frozen meals,129
342,whole milk,130
343,newspapers,130
344,pip fruit,131
345,white wine,131
346,white bread,131
347,salt,131
348,sausage,132
349,frozen vegetables,132
350,whole milk,133
351,yogurt,133
352,yogurt,133
353,rolls/buns,133
354,whole milk,134
355,frozen vegetables,134
356,fruit/vegetable juice,135
357,vinegar,135
358,citrus fruit,136
359,shopping bags,136
360,chewing gum,136
361,cake bar,136
362,frankfurter,137
363,yogurt,137
364,canned beer,137
365,tropical fruit,138
366,white bread,138
367,rolls/buns,138
368,whole milk,139
369,pip fruit,139
370,whipped/sour cream,139
371,other vegetables,140
372,specialty chocolate,140
373,Instant food products,141
374,whipped/sour cream,141
375,butter,141
376,cake bar,141
377,sausage,142
378,pork,142
379,butter,142
380,whole milk,142
381,fruit/vegetable juice,142
382,pip fruit,143
383,herbs,143
384,frozen meals,143
385,margarine,144
386,napkins,144
387,salty snack,145
388,rolls/buns,145
389,whole milk,146
390,pasta,146
391,rolls/buns,146
392,yogurt,147
393,rolls/buns,147
394,root vegetables,148
395,white bread,148
396,tropical fruit,149
397,chicken,149
398,onions,149
399,packaged fruit/vegetables,149
400,prosecco,150
401,dessert,150
402,hamburger meat,151
403,yogurt,151
404,chicken,152
405,frozen vegetables,152
406,candy,152
407,tropical fruit,153
408,brown bread,153
409,whole milk,153
410,beef,154
411,dessert,154
412,whole milk,155
413,other vegetables,155
414,citrus fruit,156
415,bottled water,156
416,citrus fruit,157
417,rolls/buns,157
418,whole milk,157
419,tropical fruit,158
420,sliced cheese,158
421,napkins,159
422,whole milk,159
423,chocolate marshmallow,159
424,tropical fruit,160
425,other vegetables,160
426,root vegetables,161
427,curd,161
428,fruit/vegetable juice,162
429,specialty chocolate,162
430,Instant food products,162
431,root vegetables,163
432,yogurt,163
433,butter,163
434,yogurt,163
435,chicken,164
436,onions,164
437,whole milk,165
438,pastry,165
439,pork,166
440,bottled water,166
441,curd,167
442,soda,167
443,sweet spreads,168
444,butter,168
445,pip fruit,169
446,soda,169
447,rolls/buns,170
448,condensed milk,170
449,whole milk,170
450,soda,170
451,rolls/buns,171
452,tropical fruit,171
453,specialty bar,172
454,margarine,172
455,butter,173
456,whole milk,173
457,white bread,174
458,candy,174
459,frankfurter,175
460,herbs,175
461,house keeping products,176
462,yogurt,176
463,whipped/sour cream,177
464,hygiene articles,177
465,UHT/milk,178
466,other vegetables,178
467,dishes,178
468,meat,179
469,whole milk,179
470,waffles,180
471,beverages,180
472,pasta,181
473,yogurt,181
474,cat food,181
475,fish,182
476,tropical fruit,182
477,red/blush wine,182
478,cream cheese ,182
479,other vegetables,183
480,soda,183
481,rolls/buns,183
482,dishes,183
483,tropical fruit,184
484,other vegetables,184
485,hamburger meat,184
486,popcorn,184
487,female sanitary products,184
488,hamburger meat,185
489,bottled beer,185
490,pork,186
491,coffee,186
492,frozen vegetables,186
493,shopping bags,187
494,shopping bags,187
495,beef,188
496,shopping bags,188
497,soda,189
498,hamburger meat,189
499,butter milk,190
500,yogurt,190
501,yogurt,190
502,margarine,190
503,soda,191
504,whole milk,191
505,root vegetables,192
506,grapes,192
507,frankfurter,193
508,whipped/sour cream,193
509,bottled water,194
510,chewing gum,194
511,chicken,195
512,beverages,195
513,coffee,195
514,pork,196
515,other vegetables,196
516,yogurt,196
517,shopping bags,196
518,soft cheese,196
519,detergent,196
520,butter,197
521,dog food,197
522,chicken,198
523,frozen vegetables,198
524,other vegetables,199
525,whole milk,199
526,hamburger meat,200
527,pastry,200
528,waffles,201
529,rolls/buns,201
530,whole milk,202
531,sugar,202
532,soda,203
533,soda,203
534,bottled beer,204
535,oil,204
536,frankfurter,205
537,citrus fruit,205
538,margarine,205
539,soda,206
540,fruit/vegetable juice,206
541,photo/film,207
542,other vegetables,207
543,pork,208
544,white wine,208
545,bottled water,209
546,yogurt,209
547,newspapers,209
548,soda,209
549,whipped/sour cream,210
550,meat spreads,210
551,pip fruit,211
552,other vegetables,211
553,ham,212
554,whole milk,212
555,salty snack,213
556,pickled vegetables,213
557,soda,214
558,domestic eggs,214
559,sliced cheese,214
560,soda,214
561,tropical fruit,215
562,UHT/milk,215
563,yogurt,216
564,root vegetables,216
565,sausage,217
566,bottled water,217
567,root vegetables,218
568,other vegetables,218
569,chicken,219
570,other vegetables,219
571,dessert,220
572,spread cheese,220
573,sausage,221
574,salty snack,221
575,cling film/bags,221
576,whole milk,222
577,tropical fruit,222
578,root vegetables,222
579,Instant food products,222
580,margarine,222
581,soda,223
582,fruit/vegetable juice,223
583,bottled beer,223
584,beef,224
585,chocolate,224
586,beverages,225
587,dessert,225
588,whipped/sour cream,226
589,hard cheese,226
590,ham,227
591,whipped/sour cream,227
592,ketchup,227
593,white bread,228
594,frozen fruits,228
595,tropical fruit,229
596,whole milk,229
597,other vegetables,229
598,long life bakery product,229
599,other vegetables,230
600,yogurt,230
601,whole milk,230
602,butter,230
603,shopping bags,230
604,whole milk,231
605,sauces,231
606,whole milk,232
607,citrus fruit,232
608,rolls/buns,233
609,candy,233
610,root vegetables,234
611,whole milk,234
612,cream cheese ,235
613,rolls/buns,235
614,long life bakery product,236
615,root vegetables,236
616,other vegetables,236
617,tropical fruit,237
618,rolls/buns,237
619,frankfurter,238
620,tropical fruit,238
621,tropical fruit,239
622,whole milk,239
623,long life bakery product,239
624,rum,239
625,hamburger meat,240
626,soda,240
627,red/blush wine,241
628,frozen fish,241
629,beef,242
630,dessert,242
631,root vegetables,243
632,bottled beer,243
633,oil,244
634,shopping bags,244
635,whole milk,245
636,other vegetables,245
637,whole milk,246
638,tropical fruit,246
639,hamburger meat,247
640,pork,247
641,rolls/buns,248
642,tropical fruit,248
643,coffee,248
644,chocolate,248
645,soda,249
646,yogurt,249
647,pork,250
648,spread cheese,250
649,salt,251
650,domestic eggs,251
651,pork,252
652,rolls/buns,252
653,brown bread,253
654,fruit/vegetable juice,253
655,bottled beer,254
656,tropical fruit,254
657,sliced cheese,254
658,dishes,254
659,cream cheese ,255
660,newspapers,255
661,citrus fruit,256
662,red/blush wine,256
663,yogurt,257
664,roll products ,257
665,fruit/vegetable juice,257
666,ham,258
667,other vegetables,258
668,frankfurter,259
669,canned beer,259
670,yogurt,260
671,bottled water,260
672,domestic eggs,260
673,finished products,261
674,brown bread,261
675,dishes,261
676,pip fruit,262
677,curd,262
678,pip fruit,262
679,prosecco,262
680,brown bread,263
681,salt,263
682,semi/finished bread,264
683,ketchup,264
684,oil,265
685,shopping bags,265
686,fruit/vegetable juice,266
687,flower (seeds),266
688,misc. beverages,267
689,instant coffee,267
690,detergent,268
691,candy,268
692,UHT/milk,269
693,canned fish,269
694,frankfurter,270
695,citrus fruit,270
696,bottled water,270
697,fruit/vegetable juice,270
698,frankfurter,271
699,frozen meals,271
700,dishes,271
701,pip fruit,272
702,rolls/buns,272
703,sausage,273
704,butter,273
705,bottled water,273
706,frankfurter,274
707,chicken,274
708,butter,274
709,bottled water,274
710,ham,275
711,whole milk,275
712,whole milk,275
713,coffee,275
714,sausage,276
715,brown bread,276
716,other vegetables,277
717,butter,277
718,tropical fruit,278
719,soda,278
720,pastry,279
721,pasta,279
722,white bread,280
723,brown bread,280
724,canned beer,281
725,rolls/buns,281
726,artif. sweetener,281
727,soda,281
728,rolls/buns,282
729,root vegetables,282
730,chicken,283
731,soda,283
732,frankfurter,284
733,curd,284
734,white bread,284
735,rolls/buns,284
736,coffee,284
737,red/blush wine,285
738,bottled water,285
739,sweet spreads,285
740,rolls/buns,286
741,onions,286
742,napkins,286
743,canned beer,287
744,soda,287
745,root vegetables,288
746,frozen vegetables,288
747,pet care,288
748,beverages,289
749,yogurt,289
750,specialty bar,290
751,tropical fruit,290
752,yogurt,290
753,bottled beer,290
754,baking powder,290
755,other vegetables,291
756,frankfurter,291
757,newspapers,291
758,whole milk,291
759,pastry,291
760,tropical fruit,292
761,whole milk,292
762,coffee,293
763,butter milk,293
764,beef,294
765,margarine,294
766,other vegetables,294
767,bottled water,295
768,hygiene articles,295
769,pork,296
770,sliced cheese,296
771,specialty chocolate,297
772,soda,297
773,bathroom cleaner,297
774,hamburger meat,298
775,whole milk,298
776,pip fruit,299
777,other vegetables,299
778,root vegetables,300
779,citrus fruit,300
780,other vegetables,301
781,shopping bags,301
782,soda,301
783,yogurt,302
784,newspapers,302
785,ice cream,303
786,whipped/sour cream,303
787,other vegetables,304
788,beef,304
789,soda,304
790,curd,304
791,butter,304
792,canned beer,305
793,herbs,305
794,margarine,305
795,rolls/buns,306
796,soda,306
797,rolls/buns,307
798,citrus fruit,307
799,coffee,308
800,berries,308
801,ham,309
802,white bread,309
803,herbs,310
804,pot plants,310
805,cake bar,310
806,soda,311
807,flower (seeds),311
808,jam,311
809,sausage,312
810,pip fruit,312
811,chocolate,312
812,specialty chocolate,313
813,white bread,313
814,whole milk,314
815,whole milk,314
816,other vegetables,315
817,whole milk,315
818,sausage,316
819,beverages,316
820,whole milk,317
821,hard cheese,317
822,yogurt,318
823,berries,318
824,tropical fruit,319
825,meat,319
826,other vegetables,319
827,domestic eggs,319
828,baking powder,319
829,yogurt,320
830,sauces,320
831,beef,321
832,yogurt,321
833,ice cream,322
834,whole milk,322
835,sausage,323
836,whisky,323
837,specialty chocolate,323
838,dishes,323
839,yogurt,323
840,napkins,323
841,detergent,323
842,pastry,323
843,yogurt,324
844,newspapers,324
845,photo/film,325
846,shopping bags,325
847,frankfurter,326
848,other vegetables,326
849,bottled beer,326
850,root vegetables,327
851,soda,327
852,specialty bar,327
853,other vegetables,327
854,frozen vegetables,327
855,rolls/buns,328
856,grapes,328
857,bottled beer,328
858,sausage,328
859,salty snack,328
860,Instant food products,328
861,domestic eggs,328
862,bottled water,328
863,dessert,329
864,domestic eggs,329
865,whole milk,330
866,brown bread,330
867,hamburger meat,331
868,detergent,331
869,flour,331
870,sausage,332
871,tropical fruit,332
872,misc. beverages,332
873,root vegetables,332
874,sausage,333
875,whole milk,333
876,tropical fruit,334
877,soda,334
878,newspapers,335
879,salty snack,335
880,pasta,336
881,whole milk,336
882,waffles,336
883,chocolate marshmallow,337
884,other vegetables,337
885,pickled vegetables,338
886,flour,338
887,yogurt,339
888,shopping bags,339
889,packaged fruit/vegetables,340
890,bottled water,340
891,pork,340
892,domestic eggs,340
893,pip fruit,341
894,fruit/vegetable juice,341
895,shopping bags,342
896,root vegetables,342
897,whipped/sour cream,343
898,curd,343
899,shopping bags,343
900,tropical fruit,344
901,whole milk,344
902,soda,344
903,curd,344
904,sausage,345
905,whole milk,345
906,cake bar,345
907,frankfurter,346
908,whipped/sour cream,346
909,bottled water,346
910,hard cheese,347
911,whole milk,347
912,tropical fruit,348
913,citrus fruit,348
914,yogurt,348
915,frankfurter,348
916,specialty chocolate,348
917,hard cheese,348
918,whole milk,348
919,canned beer,348
920,canned beer,349
921,napkins,349
922,rolls/buns,349
923,grapes,350
924,other vegetables,350
925,rolls/buns,351
926,shopping bags,351
927,cat food,351
928,tropical fruit,352
929,candy,352
930,citrus fruit,353
931,dessert,353
932,root vegetables,354
933,frozen vegetables,354
934,bottled water,354
935,cat food,354
936,spread cheese,355
937,pork,355
938,pip fruit,356
939,brown bread,356
940,root vegetables,357
941,instant coffee,357
942,soda,358
943,hygiene articles,358
944,grapes,358
945,pudding powder,358
946,butter milk,358
947,butter,358
948,whole milk,359
949,yogurt,359
950,hamburger meat,360
951,pasta,360
952,whole milk,361
953,processed cheese,361
954,brown bread,362
955,sparkling wine,362
956,rolls/buns,363
957,other vegetables,363
958,whipped/sour cream,363
959,candy,364
960,white wine,364
961,root vegetables,365
962,frozen vegetables,365
963,other vegetables,366
964,white bread,366
965,detergent,366
966,yogurt,367
967,beverages,367
968,brown bread,367
969,ice cream,368
970,herbs,368
971,cream,369
972,yogurt,369
973,chicken,370
974,pastry,370
975,candles,370
976,waffles,371
977,hygiene articles,371
978,tea,371
979,yogurt,372
980,root vegetables,372
981,yogurt,373
982,other vegetables,373
983,rolls/buns,373
984,herbs,373
985,domestic eggs,374
986,yogurt,374
987,pork,375
988,whole milk,375
989,other vegetables,376
990,white bread,376
991,bottled water,377
992,yogurt,377
993,tropical fruit,377
994,whole milk,377
995,citrus fruit,378
996,misc. beverages,378
997,liver loaf,379
998,chicken,379
999,rolls/buns,379
1000,spread cheese,379
1001,shopping bags,379
1002,citrus fruit,380
1003,misc. beverages,380
1004,whole milk,381
1005,pastry,381
1006,onions,382
1007,newspapers,382
1008,beef,383
1009,specialty fat,383
1010,newspapers,383
1011,rolls/buns,384
1012,semi/finished bread,384
1013,shopping bags,385
1014,rolls/buns,385
1015,pastry,386
1016,canned beer,386
1017,whipped/sour cream,386
1018,grapes,386
1019,salty snack,387
1020,pastry,387
1021,oil,387
1022,frozen potato products,388
1023,specialty cheese,388
1024,brown bread,389
1025,whole milk,389
1026,shopping bags,389
1027,citrus fruit,390
1028,frozen vegetables,390
1029,margarine,390
1030,curd,391
1031,sugar,391
1032,chocolate,392
1033,whole milk,392
1034,pip fruit,393
1035,salty snack,393
1036,pastry,393
1037,pip fruit,394
1038,margarine,394
1039,soda,395
1040,salty snack,395
1041,ham,396
1042,yogurt,396
1043,bottled water,397
1044,chocolate,397
1045,pastry,398
1046,baking powder,398
1047,butter,398
1048,margarine,398
1049,curd,398
1050,dishes,398
1051,whole milk,399
1052,soda,399
1053,pickled vegetables,400
1054,liquor,400
1055,margarine,401
1056,yogurt,401
1057,whole milk,402
1058,frozen vegetables,402
1059,soda,402
1060,UHT/milk,402
1061,other vegetables,403
1062,whipped/sour cream,403
1063,beef,404
1064,semi/finished bread,404
1065,bottled water,405
1066,flour,405
1067,sugar,405
1068,dish cleaner,406
1069,ice cream,406
1070,jam,406
1071,newspapers,406
1072,curd,407
1073,canned beer,407
1074,whole milk,408
1075,yogurt,408
1076,newspapers,408
1077,bottled beer,409
1078,specialty bar,409
1079,baking powder,409
1080,pork,410
1081,pudding powder,410
1082,domestic eggs,410
1083,root vegetables,411
1084,shopping bags,411
1085,misc. beverages,412
1086,UHT/milk,412
1087,white bread,412
1088,dog food,413
1089,sausage,413
1090,dessert,413
1091,shopping bags,413
1092,root vegetables,414
1093,citrus fruit,414
1094,chocolate,415
1095,brown bread,415
1096,salty snack,415
1097,chicken,416
1098,shopping bags,416
1099,other vegetables,417
1100,butter,417
1101,whipped/sour cream,418
1102,yogurt,418
1103,other vegetables,419
1104,yogurt,419
1105,turkey,420
1106,root vegetables,420
1107,other vegetables,421
1108,napkins,421
1109,other vegetables,422
1110,zwieback,422
1111,newspapers,423
1112,white bread,423
1113,rolls/buns,423
1114,beverages,423
1115,brown bread,424
1116,butter milk,424
1117,canned vegetables,424
1118,soda,424
1119,chicken,425
1120,bottled water,425
1121,brown bread,426
1122,soda,426
1123,other vegetables,427
1124,cream cheese ,427
1125,liquor,427
1126,root vegetables,427
1127,newspapers,427
1128,hard cheese,427
1129,frankfurter,428
1130,rolls/buns,428
1131,meat,429
1132,whole milk,429
1133,whipped/sour cream,429
1134,bottled beer,430
1135,frozen vegetables,430
1136,sliced cheese,430
1137,pip fruit,431
1138,processed cheese,431
1139,canned beer,431
1140,berries,432
1141,condensed milk,432
1142,house keeping products,433
1143,rolls/buns,433
1144,pickled vegetables,433
1145,curd,433
1146,whole milk,434
1147,hair spray,434
1148,butter,434
1149,pastry,434
1150,ham,435
1151,yogurt,435
1152,grapes,436
1153,whole milk,436
1154,meat,437
1155,other vegetables,437
1156,other vegetables,438
1157,specialty bar,438
1158,soda,439
1159,UHT/milk,439
1160,newspapers,439
1161,white bread,439
1162,citrus fruit,440
1163,brown bread,440
1164,tropical fruit,441
1165,sugar,441
1166,pastry,442
1167,condensed milk,442
1168,rice,442
1169,tropical fruit,442
1170,chocolate marshmallow,442
1171,coffee,443
1172,shopping bags,443
1173,bottled water,444
1174,citrus fruit,444
1175,root vegetables,445
1176,frozen vegetables,445
1177,chicken,446
1178,dishes,446
1179,rolls/buns,447
1180,oil,447
1181,yogurt,447
1182,pork,448
1183,soda,448
1184,canned vegetables,448
1185,pip fruit,449
1186,whole milk,449
1187,frozen vegetables,450
1188,rolls/buns,450
1189,cling film/bags,450
1190,bottled beer,451
1191,hygiene articles,451
1192,yogurt,452
1193,soda,452
1194,rolls/buns,453
1195,margarine,453
1196,condensed milk,454
1197,shopping bags,454
1198,popcorn,455
1199,citrus fruit,455
1200,sausage,456
1201,pastry,456
1202,root vegetables,457
1203,margarine,457
1204,rolls/buns,457
1205,rolls/buns,458
1206,whipped/sour cream,458
1207,newspapers,459
1208,pork,459
1209,root vegetables,459
1210,napkins,459
1211,misc. beverages,460
1212,whole milk,460
1213,long life bakery product,460
1214,citrus fruit,461
1215,soda,461
1216,soda,462
1217,roll products ,462
1218,frankfurter,463
1219,rolls/buns,463
1220,shopping bags,463
1221,margarine,463
1222,other vegetables,464
1223,butter,464
1224,pastry,464
1225,UHT/milk,464
1226,frankfurter,465
1227,white bread,465
1228,meat,466
1229,coffee,466
1230,liquor,467
1231,domestic eggs,467
1232,specialty bar,468
1233,soda,468
1234,frozen vegetables,468
1235,frozen vegetables,468
1236,grapes,469
1237,frozen meals,469
1238,flower (seeds),469
1239,tea,470
1240,yogurt,470
1241,shopping bags,470
1242,brown bread,470
1243,flower (seeds),471
1244,white wine,471
1245,cream cheese ,472
1246,specialty chocolate,472
1247,whole milk,473
1248,baking powder,473
1249,margarine,474
1250,soda,474
1251,tropical fruit,475
1252,cream cheese ,475
1253,cream cheese ,475
1254,yogurt,476
1255,softener,476
1256,bottled water,477
1257,frankfurter,477
1258,dessert,477
1259,root vegetables,477
1260,other vegetables,478
1261,semi/finished bread,478
1262,other vegetables,478
1263,rolls/buns,478
1264,shopping bags,478
1265,salty snack,478
1266,soda,479
1267,whole milk,479
1268,bottled beer,480
1269,whole milk,480
1270,yogurt,481
1271,pastry,481
1272,curd,482
1273,domestic eggs,482
1274,coffee,483
1275,shopping bags,483
1276,shopping bags,483
1277,sausage,484
1278,rolls/buns,484
1279,rice,484
1280,pork,485
1281,whole milk,485
1282,napkins,485
1283,other vegetables,486
1284,oil,486
1285,pastry,487
1286,brown bread,487
1287,yogurt,487
1288,cream cheese ,488
1289,newspapers,488
1290,sausage,489
1291,shopping bags,489
1292,soda,489
1293,butter,489
1294,dessert,489
1295,soda,489
1296,hard cheese,490
1297,butter,490
1298,whole milk,491
1299,other vegetables,491
1300,citrus fruit,492
1301,flower (seeds),492
1302,rolls/buns,493
1303,fruit/vegetable juice,493
1304,tropical fruit,494
1305,butter milk,494
1306,brown bread,494
1307,tropical fruit,495
1308,whole milk,495
1309,herbs,496
1310,citrus fruit,496
1311,root vegetables,497
1312,butter milk,497
1313,instant coffee,498
1314,shopping bags,498
1315,tropical fruit,499
1316,other vegetables,499
1317,other vegetables,500
1318,beef,500
1319,nut snack,501
1320,canned beer,501
1321,whole milk,502
1322,other vegetables,502
1323,other vegetables,502
1324,sugar,502
1325,citrus fruit,503
1326,napkins,503
1327,whole milk,504
1328,root vegetables,504
1329,rolls/buns,505
1330,butter milk,505
1331,rolls/buns,506
1332,brown bread,506
1333,canned beer,506
1334,tropical fruit,507
1335,soft cheese,507
1336,tropical fruit,508
1337,misc. beverages,508
1338,pork,509
1339,pickled vegetables,509
1340,photo/film,510
1341,frankfurter,510
1342,other vegetables,510
1343,curd,510
1344,waffles,510
1345,pip fruit,511
1346,other vegetables,511
1347,cling film/bags,511
1348,rolls/buns,512
1349,whole milk,512
1350,soda,512
1351,tropical fruit,513
1352,yogurt,513
1353,cat food,514
1354,rolls/buns,514
1355,berries,515
1356,white bread,515
1357,rolls/buns,516
1358,soda,516
1359,chicken,517
1360,brown bread,517
1361,other vegetables,518
1362,napkins,518
1363,newspapers,519
1364,soups,519
1365,UHT/milk,520
1366,soda,520
1367,pork,521
1368,soda,521
1369,oil,522
1370,pickled vegetables,522
1371,soda,523
1372,whole milk,523
1373,whole milk,523
1374,sugar,523
1375,misc. beverages,524
1376,spread cheese,524
1377,pork,525
1378,domestic eggs,525
1379,root vegetables,526
1380,coffee,526
1381,meat,527
1382,whole milk,527
1383,canned beer,528
1384,fish,528
1385,hard cheese,529
1386,root vegetables,529
1387,white bread,529
1388,chicken,530
1389,domestic eggs,530
1390,white bread,530
1391,soda,531
1392,whipped/sour cream,531
1393,brown bread,532
1394,other vegetables,532
1395,tropical fruit,533
1396,root vegetables,533
1397,bottled beer,534
1398,soda,534
1399,bottled water,535
1400,shopping bags,535
1401,waffles,535
1402,whole milk,536
1403,bottled beer,536
1404,pork,537
1405,margarine,537
1406,frozen vegetables,538
1407,pip fruit,538
1408,root vegetables,538
1409,cereals,538
1410,yogurt,539
1411,soda,539
1412,yogurt,539
1413,other vegetables,540
1414,berries,540
1415,candy,540
1416,sliced cheese,540
1417,curd,541
1418,soft cheese,541
1419,soda,542
1420,whole milk,542
1421,frozen meals,543
1422,detergent,543
1423,specialty chocolate,544
1424,canned fish,544
1425,soda,545
1426,other vegetables,545
1427,pork,546
1428,tropical fruit,546
1429,pork,547
1430,yogurt,547
1431,yogurt,548
1432,sausage,548
1433,whole milk,548
1434,shopping bags,548
1435,white bread,548
1436,dog food,548
1437,baking powder,548
1438,sliced cheese,548
1439,soda,549
1440,other vegetables,549
1441,root vegetables,550
1442,soda,550
1443,long life bakery product,550
1444,soda,551
